Asha is halfway through explaining her idea. You have an idea too. What helps both ideas be heard?|Let Asha finish, then take your turn|Say your idea over Asha's words|Ask a friend to talk at the same time|Waiting until Asha finishes lets you hear her whole idea before adding yours.
Ben says, 'My seed grew a leaf.' Which reply shows you listened to his news?|What does the new leaf look like?|What is your favourite bus?|Did you lose your lunchbox?|The question follows Ben's news about the leaf and invites him to explain more.
Your partner says they cannot hear your answer. What is a useful change?|Speak a little louder and clearly|Say the answer even faster|Repeat it more quietly|Adjusting your volume and speaking clearly helps your partner hear the answer.
Lee says, 'Put it over there,' but you do not know which box he means. What could you ask?|Which box do you mean?|Why do you like boxes?|Can we talk about lunch?|Asking which box clears up the missing information needed to follow Lee's idea.
A group is choosing a game. You want to join the discussion. Which contribution gives an idea and a reason?|We could play tag because we have room to run.|We could play something.|I have a reason, but I will not say it.|Naming a game and explaining why it suits the space helps the group consider it.
Kim says, 'I think the character is worried.' Which reply builds on her idea?|I think so too, because he keeps checking the door.|I like doors in houses.|The book has a green cover.|The reply adds story evidence to Kim's idea rather than changing the subject.
A friend uses the word 'shelter' and you are unsure what it means. What could you say?|What does shelter mean here?|I know every word already.|Can you say an unrelated word?|Asking about the unclear word helps you understand your friend's message.
You are explaining a drawing to one partner beside you. Which voice is most helpful?|A clear voice your partner can hear|A shout meant for the whole playground|A whisper your partner cannot hear|The volume should suit the nearby listener so the explanation is easy to hear.
Noor says, 'The bridge fell because the blocks were too far apart.' Which reply checks your understanding?|Do you mean the gap between the blocks was too wide?|Do you mean the blocks were the wrong colour?|Do you mean we should draw a bridge?|Restating the idea as a question checks that you understood Noor's reason.
Your classmate says, 'We should water the plant.' You notice the soil is already wet. Which reply respectfully adds that information?|The soil feels wet. Could we check before adding more?|You are wrong, so stop talking.|Plants are interesting. My shoes are new.|The reply stays on the topic, shares evidence and invites the classmate to think with you.
Two children have spoken several times. One child is waiting to share. What could you say?|We have heard our ideas. Would you like a turn?|We should repeat our ideas again.|We can only hear from two people.|Inviting the waiting child creates space for another contribution without forcing them.
Your partner explains two steps too quickly for you to follow. What could you ask?|Could you say the steps more slowly?|Could you add lots more steps now?|Could you say them all at once?|A slower repeat makes the sequence easier to understand and remember.
A friend says, 'I liked the ending because the lost bird got home.' Which question follows that idea?|What helped the bird find home?|What did you have for breakfast?|How many pencils are in your bag?|The question connects directly with the ending your friend described.
You heard 'Bring a ... tomorrow' but missed the item. What is the best question?|What do we need to bring tomorrow?|Why is tomorrow after today?|Can I tell you about my pet?|Asking for the missing item repairs the part of the message you did not hear.
During a discussion about making the playground cleaner, which idea stays on topic?|We could put a bin near the eating area.|We could choose a new class song.|We could count all our pencils.|A bin near where people eat addresses the group's question about playground litter.
Omar says, 'I think the bag is heavy because she is using both hands.' Which response adds another relevant clue?|She is also leaning back as she lifts it.|Her shirt has a stripe.|I have a bag at home.|Leaning back while lifting supports the same idea about weight; shirt detail does not.
Pia says, 'Let's build a tall tower.' Sam says, 'Let's build a wide one so it stands.' What reply uses both ideas?|Could we start with a wide base, then build upwards?|Pia spoke first, so we cannot discuss Sam's idea.|Let's stop building and name colours.|A wide base and upward building combine the wish for height with the need for stability.
A speaker says, 'I was nervous before the show, but happy afterwards.' Which reply shows you heard both parts?|Your feelings changed once the show was over.|You were happy the whole time.|You were nervous after the show too.|The reply keeps the before-and-after change in the speaker's message.
Your friend has finished giving directions, but you are unsure of the first turn. What helps most?|Repeat the turn you think you heard and ask if it is right|Pretend you understood every step|Ask a question about the friend's favourite place|Checking the uncertain turn helps you use the directions accurately.
A group is planning a class pet display. You disagree with using tiny writing. Which reply explains your concern?|Could we use larger writing so visitors can read it?|I do not like your idea and that is all.|Let's discuss what we ate yesterday.|A reason about visitors reading the display makes the disagreement useful and relevant.
A child pauses to think during their turn. What can you do before jumping in?|Give them a moment to finish their thought|Finish the story for them straight away|Start a new discussion with someone else|A short thinking pause does not always mean the speaker has finished their turn.
Mae says, 'I think the character is kind because she shares.' Which response adds a different view with evidence?|I think she is worried too, because she keeps looking for her brother.|I have a different idea, so yours cannot count.|I like the word character.|The reply contributes another supported idea while allowing Mae's view to be considered.
Your partner asks you to repeat only the last step. What is the most helpful reply?|Say the last step again clearly|Start a new set of instructions|Repeat only the first step louder|Listening to the specific request helps you provide the information your partner needs.
At the end of a discussion, Jo says, 'We agreed to make two signs and put them near the gate.' Which response checks the shared plan?|Yes, two signs near the gate. Who will make each one?|Yes, one sign in the classroom.|Let's say all our ideas again without choosing.|The reply accurately restates the agreement and asks a useful next question.
Ella is explaining how her model works. You do not understand one part. What should you do when she pauses for questions?|Ask about the part you did not understand|Ask about a different model you saw last week|Repeat her last word without a question|A focused question helps Ella explain the unclear part of her model.
Max says, 'Our bus was late because a tree blocked the road.' Which reply follows his account?|How did the bus get past the tree?|What colour is your bedroom?|Do you prefer apples or pears?|The question connects with the problem in Max's account and asks what happened next.
A classmate says your words are running together. What could help?|Slow down and leave small pauses between ideas|Speak as quickly as possible|Turn away while speaking|A steadier pace and pauses make separate ideas easier for a listener to follow.
A group is discussing lunch waste. Which question helps the group think about the problem?|Which food is being left most often?|Which songs do we know?|Which classroom has blue curtains?|Knowing what is left can help the group plan a response to food waste.
A partner says, 'Place the card beneath the book.' You are unsure about 'beneath'. Which question helps?|Does beneath mean under the book?|Is the book your favourite?|How many books do you own?|Checking the position word helps you carry out the partner's instruction.
You want a turn after two friends finish speaking. Which response is suitable?|May I add an idea now?|I will speak while you are both speaking.|I will tell a different group instead.|Asking to add an idea after they finish supports orderly turn-taking.
Tess says, 'The puppy might be hungry; it is sniffing the bowl.' Which reply adds relevant evidence?|The bowl looks empty too.|The puppy has brown ears.|I have seen a puppy before.|An empty bowl supports the idea about hunger more directly than colour or past experience.
Your group has chosen a game, but one child did not hear its name. What should you repeat?|The name of the chosen game|Every game you know|Only the reason your first idea was best|Repeating the missing name helps the child join the agreed activity.
