A child writes 'the frog hops.' Which edit fixes the sentence beginning?|The frog hops.|the Frog hops.|the frog Hops.|A sentence starts with a capital letter; the other words here do not need capitals.
Choose the complete sentence for a report about a bird.|The bird has a sharp beak.|The bird with a sharp beak.|A sharp beak on the bird.|The first sentence tells a complete idea about the bird; the others only name or describe it.
Finish this sentence: 'The dogs ___ at the gate each morning.'|bark|barks|barking|Dogs means more than one, so bark fits this simple present-tense sentence.
A child is asking where a hat is. Which sentence is punctuated correctly?|Where is my hat?|Where is my hat.|where is my hat?|The question needs a capital at the start and a question mark at the end.
Which spelling completes 'The ___ is eating a carrot'?|rabbit|rabit|rabitt|Rabbit is the standard spelling; it has two b letters and one t at the end.
Which sentence clearly gives an opinion about a game?|I like this game because we work together.|This game has six cards.|The cards are in a box.|I like expresses a preference and because introduces the reason for it.
Choose the sentence with the words in a clear order.|The cat sleeps on the mat.|Sleeps the on cat mat the.|On sleeps the cat the mat.|The first option puts who, the action and the place into a complete sentence.
A report describes a plant. Which word names the part that takes in water from soil?|roots|roof|ropes|Roots is precise plant vocabulary for the part in the soil that takes in water.
Edit 'The duck swim in the pond each day.'|The duck swims in the pond each day.|The duck swimming in the pond each day.|The duck swum in the pond each day.|The singular subject duck takes swims in this simple present-tense sentence.
A recount says 'Yesterday, I jump over a puddle.' Which change fits the time?|Change jump to jumped.|Change Yesterday to Tomorrow and keep jump.|Change I to We and keep jump.|Jumped places the action in the past, matching Yesterday.
Read the draft: 'We saw a crab it hid under a rock.' Which edit separates the two complete ideas?|We saw a crab. It hid under a rock.|We saw. A crab it hid under a rock.|We saw a crab it. Hid under a rock.|The full stop belongs after the first complete idea, and It starts the next sentence.
A child writes 'I like the library.' Which added sentence gives a relevant reason?|I can choose many different stories there.|My lunchbox is on the shelf.|The door has a handle.|A choice of stories explains the preference for the library more directly than unrelated details.
A report says 'A fish uses its things to move through water.' Which edit makes the body-part word precise?|Replace things with fins.|Replace fish with animal.|Replace water with stuff.|Fins names the relevant body parts; the other changes make the report less precise.
A recount begins 'First we dug a hole. Then we planted the seed.' Which next sentence keeps the event sequence sensible?|After that, we watered the soil.|Before digging, the seed was already planted in that hole.|Next, we began the first step again without a reason.|Watering follows planting naturally and continues the account of this task.
A child writes 'I saw an dog.' Which edit is needed?|I saw a dog.|I saw an dogs.|I saw dog an.|Dog begins with a consonant sound, so a is the suitable article here.
Read: 'The bag fell. The bag spilled its books.' Which edit avoids repeating the name while keeping meaning?|The bag fell. It spilled its books.|The bag fell. They spilled its books.|The bag fell. We spilled its books.|It refers clearly to the one bag, while the other pronouns change the meaning.
A draft says 'Birds have feathers. My shoes are wet. Birds lay eggs.' Which sentence should be removed to keep the report focused?|My shoes are wet.|Birds have feathers.|Birds lay eggs.|The shoe sentence is unrelated to the report's information about birds.
A child writes 'I like the park because I like the park.' Which revision supplies a useful reason?|I like the park because there is room to run.|I like the park because the park is the park.|I like the park because I said I do.|Room to run adds a reason instead of repeating the same preference.
A recount says 'We packed up before going home.' Which opening fits that same outing?|This morning, our class visited the garden.|Tomorrow, our class might visit the garden.|Our class has never been to any garden.|A past outing can end with packing up; a possible future visit is not the same recount.
Read: 'The small seed grew a root.' Which caption would match a drawing of that event?|A root is growing from the seed.|The seed has grown a flower already.|The seed is still unchanged.|The caption should match the stated root-growth stage rather than add an unsupported stage.
Write two simple sentences reporting what you know about a familiar animal. Re-read them and fix the capitals and end marks.|For example: A duck has feathers. It has a beak. Accept other accurate, complete sentences about one animal.|OPEN|OPEN|Check that both sentences stay on the animal topic, use suitable vocabulary and have clear boundaries. Support spelling without replacing the child's ideas.
Write your opinion about a classroom activity and add a reason. Re-read and improve one word if you can.|For example: I like painting because I can mix colours. Accept any clearly expressed opinion with a relevant reason.|OPEN|OPEN|Check that the opinion and reason connect, the sentence communicates a complete idea and its capital and end mark are present.
Write a short recount in two or three sentences about something you did today. Re-read it to check the order.|Accept an opening naming the event, one or more actions in a sensible order and grammatically understandable sentences.|OPEN|OPEN|Check that the account stays with one event and uses sentence boundaries. The child's actual experience determines the content; do not require this model's wording.
Rewrite this draft on paper: 'we made a boat it floated'. Keep the two ideas and fix the sentence boundaries.|We made a boat. It floated.|OPEN|OPEN|Check the capital W, a full stop after boat, capital I and final full stop. Both original ideas should remain.
Which edit fixes 'my pet is small.'?|My pet is small.|my Pet is small.|my pet Is small.|The first letter of the sentence needs a capital; the other common words remain lower-case.
Choose the complete sentence about a tree.|The tree gives us shade.|The tree beside the path.|A tall tree with leaves.|The first option tells a complete idea, while the other two describe a tree without completing the statement.
Finish 'The snail ___ slowly along the wall each day.'|moves|move|moving|One snail takes moves in this present-tense sentence.
Which sentence correctly asks about the next bus?|When is the next bus?|When is the next bus.|when is the next bus?|A written question starts with a capital and ends with a question mark.
Choose the correct spelling for 'Please put the ___ on the table.'|napkin|napken|napkinn|Napkin is the standard spelling of this two-syllable word.
A report says 'The bee carries yellow stuff from flowers.' Which word makes the information more precise?|pollen|paint|powdered sugar|Pollen is the flower material bees carry; the alternatives describe different substances.
A child writes 'Last week we walk to the pond.' Which edit fits the time?|Last week we walked to the pond.|Last week we walking to the pond.|Last week we walks to the pond.|Walked marks the past action that matches Last week.
Choose the best edit of 'The rain stopped we went out.'|The rain stopped. We went out.|The rain. Stopped we went out.|The rain stopped we. Went out.|Each complete idea needs its own sentence boundary, with a capital beginning the second.
A child wants to explain why they prefer a book. Which sentence does that?|I prefer this book because its ending surprises me.|This book is on the desk.|This book has a cover.|The first sentence states a preference and gives a reason linked to the book.
A report says 'Frogs lay eggs. Frogs have moist skin. I lost a sock.' Which sentence is off topic?|I lost a sock.|Frogs lay eggs.|Frogs have moist skin.|The sock does not provide information about frogs, so it interrupts the report.
A recount says 'We washed the apples. Next, we cut them.' What does them refer to?|The apples|The children|The knives|Them replaces apples, the things named in the previous sentence.
A drawing shows a seedling with two leaves. Which caption stays accurate?|The seedling has two leaves.|The plant has ripe fruit.|The seed has no leaves yet.|The caption must agree with the two leaves shown rather than describe a different stage.
Write two simple sentences about a place you know. Include one precise word that helps the reader picture it. Re-read your writing.|Accept two connected sentences about a real or imagined place, with a useful precise word, such as pond, gate or shady.|OPEN|OPEN|Check complete ideas, relevant vocabulary, capitals and end marks. Accept different places and descriptions; do not demand decorative language.
Write an opinion about a food and a reason for it. Re-read to check your spelling and sentence ending.|For example: I like pears because they are juicy. Accept any food preference supported by a relevant reason.|OPEN|OPEN|Check that the reason explains the preference and the sentence is complete. Do not mark the child's taste as right or wrong.
Write a two- or three-sentence recount of a real or imagined game. Show what happened first and what happened next.|Accept a coherent short account of one game, with ordered events and understandable simple sentences.|OPEN|OPEN|Check the event sequence, topic vocabulary and sentence boundaries. An imagined event is acceptable if its actions fit together.
Rewrite this draft as two sentences: 'the wind blew my hat fell off'. Keep the meaning and edit the punctuation.|The wind blew. My hat fell off.|OPEN|OPEN|Check the capital T, full stop after blew, capital M and final full stop. Preserve both events.
