'Yesterday we visited the farm. First we fed hens. Then we saw the lambs.' What is this text doing?|Retelling events in order.|Explaining why hens lay eggs.|Giving an opinion about farms.|Yesterday, first and then organise a recount of what happened.
'Bees are insects. They have six legs and two antennae.' What is the main purpose?|To give information about bees.|To tell an adventure about a bee.|To say bees are the best pets.|The text presents facts rather than a plot or preference.
'I think our class should grow herbs because we could use them in cooking.' What comes after the opinion?|A reason supporting it.|An event that happened yesterday.|A list of herb colours.|Because introduces a reason for the suggested class activity.
'A little fox lost its way. It followed a song and found its den.' How is this story organised?|A problem followed by a solution.|Facts grouped under animal headings.|A choice followed by a price.|Being lost is the problem; finding the den resolves it.
'We put ice in a warm room. It melted because the room was warm.' What does because help the text explain?|Why the ice melted.|Who bought the ice.|Which room is the largest.|Because connects an event with its cause.
A report has headings 'Body', 'Food' and 'Home'. What do these headings do?|Group facts about different parts of a topic.|Put a character's adventure in time order.|Rank foods from best to worst.|Each heading gathers a related set of facts.
Which opening best begins a recount of a class walk?|This morning our class walked to the creek.|Creeks carry flowing water.|Everyone should visit a creek.|A recount begins by setting up an event that happened.
Which sentence best ends an opinion about keeping a reading corner?|That is why I think we should keep it.|First we opened the classroom door.|Some books have hard covers.|The ending returns to the opinion being supported.
'First we mixed the batter. ___ we poured it into the pan.' Which word keeps this recount in order?|Then|Before|Never|Then signals the next event after mixing.
A story begins with a rabbit's kite caught in a tree. Which ending solves that problem?|A tall friend lifts the kite down.|The rabbit notices the sky is blue.|Kites come in many shapes.|Retrieving the kite resolves the problem introduced at the start.
You are writing an animal report. Which sentence belongs under 'Food'?|The possum eats leaves and fruit.|The possum sleeps in a tree hollow.|The possum has a furry tail.|This fact is about what the animal eats.
A text explains why a wet towel becomes dry. Which sentence fits its purpose?|Water slowly leaves the towel and goes into the air.|This towel is my favourite colour.|Yesterday I carried a towel to the beach.|The first sentence explains the change rather than giving an opinion or recount.
'I think skipping is a good playground activity.' Which sentence should follow to support the opinion?|It gives us a way to exercise and have fun.|Skipping begins with the letter s.|Yesterday I left my rope at home.|The benefits support the view that skipping is a good activity.
A recount says: 'At last we reached home.' Where does this sentence fit best?|After the events of the trip.|Before anyone sets off.|Under a heading about animal food.|At last signals the end of the sequence.
Which pair shows two different ways to organise a text about a garden?|A recount in time order; a report grouped by plant facts.|Two reports with the same headings.|Two recounts with only the names changed.|The first pair uses different structures for different purposes.
A story says a bear wants to cross a stream, but the bridge is broken. What part of the story is this?|The problem the bear needs to solve.|A final solution to the problem.|A heading that groups facts.|The broken bridge prevents the bear from reaching its goal.
'Our pet is a rabbit. Rabbits have long ears. Our rabbit ate a leaf yesterday. Rabbits eat plants.' Which sentence interrupts the general animal facts?|Our rabbit ate a leaf yesterday.|Rabbits have long ears.|Rabbits eat plants.|A single event about one rabbit shifts from general information towards a recount.
A writer wants to explain why a ball rolled downhill. Which plan fits?|Describe the slope, then explain how it made the ball roll.|State that balls are best, then give reasons to buy one.|List yesterday's games in time order.|An explanation connects the event with what caused it.
A story has a problem and a solution, but no beginning. What should the writer add first?|Who the story is about and where it starts.|A list of all words that rhyme.|An opinion about the best ending.|Introducing character and setting helps the reader follow the later problem.
Read: 'We need a shady seat. A tree gives shade, so a seat beneath it would help.' How is this short opinion organised?|A need followed by a supporting reason and suggestion.|Three unrelated facts about furniture.|A sequence of yesterday's events.|The reason about shade supports where the seat should go.
A report about frogs has sections on bodies, food and habitats. Where should 'Frogs catch small insects' go?|In the food section.|In the bodies section.|In a list of story characters.|Catching insects describes feeding, so it belongs with food facts.
A recount jumps from arriving home to boarding the bus at the start. What change would make it easier to follow?|Put the bus journey before arriving home.|Remove every time word.|Add an unrelated animal fact.|Recounts are easier to follow when events are presented in their actual order.
Two texts begin 'The seed opened.' One tells a made-up seed adventure. The other explains how a seed sprouts. What should differ?|The adventure develops a plot; the explanation connects steps and causes.|Both must give the seed a talking friend.|Both must end with the writer's favourite plant.|The purpose determines how the rest of each text develops.
A paragraph says: 'I like winter. First, my dog ran away. Frogs have wet skin.' Why is it hard to follow?|The sentences change topic and purpose without a clear connection.|Every sentence is too long to read.|All three sentences explain the same idea.|The text does not develop one recount, opinion or information topic coherently.
'Last night we made soup. Next we ate it. Finally we washed the bowls.' Which purpose fits?|Recounting what happened.|Explaining how bowls are made.|Arguing that soup is the best food.|The text retells a sequence of past events.
'Wombats are mammals. They dig burrows and eat grasses.' What kind of organisation fits more information?|Group related facts about wombats.|Add a magic problem for the wombat to solve.|Rank classmates' favourite animals.|Related fact groups suit an informative report.
'I believe the playground needs more bins because rubbish blows onto the grass.' What supports the opinion?|The problem of rubbish blowing onto the grass.|The number of letters in playground.|The statement that the writer believes something.|The litter problem provides a reason for adding bins.
'A duckling fell into a hole. Its friends lowered a branch and helped it climb out.' What comes after the problem?|The solution.|A table of contents.|An unrelated opinion.|The rescue resolves the difficulty of being trapped.
