"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","response_type","acceptance_note"
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-001","Contents: 'Getting started — 3; Feeding a rabbit — 8; Keeping its home clean — 14.' Where would you begin reading about food?","A. page 8 | B. page 3 | C. page 14","page 8","The table of contents links the feeding chapter to page 8. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-002","Chapters: '1 A Strange Noise; 2 The Search; 3 Home at Last.' Which chapter would you revisit for the search?","A. Chapter 1 | B. Chapter 2 | C. Chapter 3","Chapter 2","The chapter title identifies the part about searching. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-003","Index: 'beaks 6, 12; feathers 4; nests 9.' Which pages might tell you about beaks?","A. 4 and 9 | B. only 9 | C. 6 and 12","6 and 12","An index can list more than one page for the same topic. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-004","An index is alphabetical. Where should 'dolphins' appear?","A. Between 'crabs' and 'eels'. | B. Before 'ants'. | C. After 'whales'.","Between 'crabs' and 'eels'.","The starting letters c, d and e show the correct alphabetical position. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-005","You want a chapter overview of a whole book before reading it. Which feature helps most?","A. Index entry for one word | B. Table of contents | C. Page number on the final page","Table of contents","A table of contents lists the main sections in their reading order. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-006","You want every page that mentions 'nectar', even inside different chapters. Which feature is designed for that?","A. Front-cover picture | B. Chapter number alone | C. Index","Index","An index points from a specific topic to the pages where it appears. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-007","A website side-bar lists 'Animals', 'Plants' and 'Weather'. Where should you look for an article about rain?","A. Weather | B. Plants | C. Animals","Weather","The menu labels group topics, and rain belongs under weather. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-008","A button says 'Choose a year'. Opening it shows 'Year 1', 'Year 2', 'Year 3'. What should a Year 2 reader select?","A. Year 1 | B. Year 2 | C. Year 3","Year 2","The drop-down options let the reader select the required year level. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-009","A page has links 'Listen to the story', 'Meet the author' and 'Print the map'. Which opens information about the writer?","A. Listen to the story | B. Print the map | C. Meet the author","Meet the author","Author means writer, so the label predicts the destination. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-010","Home menu: 'Learn' and 'Shop'. Under Learn: 'Birds' and 'Rocks'. Which path leads to bird facts?","A. Learn, then Birds | B. Shop, then checkout | C. Learn, then Rocks","Learn, then Birds","The reader first selects the learning section, then the specific topic. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-011","Contents: 'Tide pools — 5; Sand dunes — 11; Cliffs — 18.' Which chapter includes page 14?","A. Tide pools | B. Sand dunes | C. Cliffs","Sand dunes","Sand dunes starts at 11 and the next chapter starts at 18, so 14 is within it. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-012","Index: 'seeds 7–9'. What does this entry tell you to check?","A. Only pages 7 and 9. | B. Chapters 7 and 9 only. | C. Pages 7, 8 and 9.","Pages 7, 8 and 9.","A page range includes the pages between its endpoints. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-013","You open a book at page 20 and see 'Chapter 4: Winter'. How can that heading help?","A. It confirms which chapter you are reading. | B. It gives the page of every word in the book. | C. It tells you the book's price.","It confirms which chapter you are reading.","A chapter heading identifies the current section of the text. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-014","The words 'See the full timetable' are a link beneath a short event notice. What would you expect after selecting it?","A. A list of the author's pets. | B. A more complete schedule. | C. A blank drawing page.","A more complete schedule.","The link label describes the information at its destination. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-015","You are reading a page about frogs. The side-bar still shows 'Home', 'Animals' and 'Plants'. To browse other animals, which label would you choose?","A. Plants | B. Home only because it is first | C. Animals","Animals","The Animals section is the most direct menu route to related animal pages. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-016","A museum page has a 'Visit' drop-down with 'Opening hours', 'Tickets' and 'Getting here'. Which option helps plan a bus trip to it?","A. Getting here | B. Tickets | C. Opening hours","Getting here","Getting here is the option about reaching the location. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-017","Index: 'bats 10; bees 5; beetles 6; birds 12'. Which entry would you use for beetles?","A. bees 5 | B. beetles 6 | C. birds 12","beetles 6","Match the whole word, not just its first letters, before using the page number. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-018","Contents lists 'Planning — 2; Building — 6; Testing — 10'. What does this order help a reader follow?","A. An alphabetical list of every word. | B. The authors from youngest to oldest. | C. The main sections from planning to testing.","The main sections from planning to testing.","Contents follows the book's section order, which here follows a project sequence. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-019","You need the 'Habitat' chapter. The contents gives page 16, and a screen version has a 'Habitat' link. How can you reach it in each version?","A. Turn to page 16 in print; select the link on screen. | B. Shake the book; change the screen brightness. | C. Use page 16 as a password on both versions.","Turn to page 16 in print; select the link on screen.","Print page references and screen links are different navigation tools for the same section. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-020","You select 'Games' but need a fact page. The side-bar offers 'Facts'. What is the most direct next step?","A. Keep choosing random games. | B. Select Facts. | C. Close the book on your desk.","Select Facts.","A relevant navigation label helps correct the route efficiently. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-021","Contents: 'Before the walk — 4; Along the track — 9; After the walk — 17'. Where should you look for preparation advice?","A. After the walk | B. Along the track only | C. Before the walk","Before the walk","The heading before the walk signals information needed in preparation. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-022","A screen heading says 'Whales'. Below it, a link says 'Read about whale sounds'. Which part would you select to reach the sound article?","A. Read about whale sounds | B. The page margin | C. The browser clock","Read about whale sounds","The labelled link is the navigation control described in the question. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-023","With an adult, use a book with a contents page. Choose a chapter, say its starting page and turn to it. Show how you know you reached the right chapter.","","The child matches a contents entry to its page and checks the chapter heading.","Accept successful navigation using an actual book. If none is available, the adult may make three numbered paper sections with a contents list; do not award completion for naming a feature only. Hint: Match the information you need to the label, topic entry or page reference.","adult-review","Accept successful navigation using an actual book. If none is available, the adult may make three numbered paper sections with a contents list; do not award completion for naming a feature only."
"AC9E2LA05","Finding Information in Print and Screen Texts","practice","AC9E2LA05-P-024","With an adult, use a suitable website or a paper mock-up of a website with a side-bar and a drop-down. Choose a topic and show the route using both controls.","","The child selects a relevant side-bar category, opens the drop-down and chooses the matching option.","Accept a demonstrated route with explanation of the selected labels. A prepared paper interface is valid if the child actually follows its labelled choices. Hint: Match the information you need to the label, topic entry or page reference.","adult-review","Accept a demonstrated route with explanation of the selected labels. A prepared paper interface is valid if the child actually follows its labelled choices."
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-001","Contents: 'The coast — 4; The desert — 13; The forest — 21'. Where should you turn to begin the desert chapter?","A. page 13 | B. page 4 | C. page 21","page 13","The desert entry points to its start on page 13. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-002","Index: 'comets 8, 19; moons 11; stars 3–6'. Where should you check for comets?","A. pages 3 to 6 | B. pages 8 and 19 | C. page 11 only","pages 8 and 19","The numbers beside comets identify both listed locations. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-003","A story has 'Chapter 5: The Rescue' and 'Chapter 6: The Journey Home'. Which chapter would you choose to reread how someone was saved?","A. Chapter 6 | B. Neither, because titles cannot help | C. Chapter 5","Chapter 5","The rescue title points to the saving event. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-004","A school site side-bar lists 'News', 'Calendar' and 'Class work'. Which is the best first choice for dates of upcoming events?","A. Calendar | B. Class work | C. News only because it comes first","Calendar","A calendar is organised around dates and scheduled events. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-005","A library's 'Borrow' menu opens 'Books', 'Audiobooks' and 'Magazines'. Which option helps you find a story to listen to?","A. Magazines | B. Audiobooks | C. Books without checking their format","Audiobooks","Audiobooks provide recorded reading, matching the listening goal. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-006","You want to hear how a new word sounds. Which link label best matches?","A. Read our privacy notice | B. View the school map | C. Listen to the word","Listen to the word","The label explicitly offers the pronunciation or spoken word. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-007","You remember a small mention of 'camouflage' but not its chapter. What should you check first if the book has one?","A. The index entry for camouflage. | B. The illustrator's name. | C. The back cover colour.","The index entry for camouflage.","An index can locate a specific topic without knowing its chapter. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-008","A reader wants to see which major topics a book covers. What should they scan?","A. A single footnote. | B. The table of contents. | C. Only the last sentence.","The table of contents.","The contents offers an overview of the book's sections. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
"AC9E2LA05","Finding Information in Print and Screen Texts","test","AC9E2LA05-T-009","Contents: 'Tracks — 6; Nests — 12; Burrows — 20'. Page 17 is most likely in which section?","A. Tracks | B. Burrows | C. Nests","Nests","The Nests section starts at 12 and continues until the next section at 20. Hint: Match the information you need to the label, topic entry or page reference.","multiple-choice",""
