A snail moved from a stone to a leaf. Which caption tells what happened?|The snail moved onto the leaf.|The snail stayed on the stone.|The snail moved under the stone.|A caption should describe the movement that was observed.
A child feels a leaf with a bumpy surface. Complete the note: The leaf feels ___.|rough|smooth|wet|Rough describes a bumpy surface. Wet describes moisture, which was not reported.
A photo shows rain falling into a puddle. Which caption matches it?|Rain is falling into the puddle.|The puddle has dried up.|Snow is covering the puddle.|Use words that match what the photo shows.
A ball moves away when a child presses it forwards. Which word completes the report: I gave the ball a ___?|push|pull|squeeze|A push moves an object away from the hand in this observation.
A drawing shows a bird carrying a twig in its beak. Which label belongs beside the twig?|twig held in beak|food held in foot|leaf under wing|A label names the object and its observed location accurately.
A seedling has two leaves today. Which sentence reports this observation?|Today the seedling has two leaves.|Tomorrow it will have four leaves.|I hope it grows more leaves.|The first sentence reports what can be seen today; the others express a prediction or hope.
A child watches a worm move into soil. Which title fits this observation?|Where the worm moved|How tall the plant grew|What the bird ate|A useful title names the subject of the observation.
A damp cloth becomes dry. Which words complete the record: First it was ___; later it was ___?|damp; dry|dry; damp|dry; dry|The time words must preserve the observed order of the change.
Read the plant notes. Which caption reports the change?|The plant grew two more leaves.|The plant lost two leaves.|The plant had four leaves both days.|The count rose from two to four, so two more leaves were present.
A child writes: It went farther. They compared a toy car on tile and on carpet. Which sentence makes the finding clear?|The car went farther on tile than on carpet.|The car went farther on one of the floors.|The car went farther than it did somewhere.|Name both surfaces so the reader knows what is being compared.
A photo shows three ants beside a flowerpot. Which caption gives both the number and place?|Three ants are beside the flowerpot.|Some ants are beside the flowerpot.|Three ants are somewhere in the garden.|Both the count and location help another person understand the observation.
A child says: The sponge took in water. Which science word can replace took in?|absorbed|floated on|pushed away|Absorbed means took in water; it does not mean floating or pushing water away.
A class watched clouds in the morning and rain after lunch. Which sentence keeps the order clear?|First we saw clouds; later rain fell.|First rain fell; later clouds appeared.|Rain fell at both observation times.|Time words should communicate the same order as the observations.
A leaf measured five equal blocks long. Which note lets a friend understand the measurement?|The leaf was five blocks long.|The leaf was five long.|The leaf was five leaves long.|Include the measuring unit, blocks, as well as the number.
A child draws roots below the soil and leaves above it. Which pair of labels matches the drawing?|Below: roots. Above: leaves.|Below: leaves. Above: roots.|Below: stem. Above: roots.|Correct labels help the reader identify the parts shown in the drawing.
A report says: The shadow changed. The child saw a long shadow first and a shorter one later. Which detail improves the report?|The shadow became shorter.|The shadow became longer.|The shadow stayed the same length.|Describe how the shadow changed, using the observed direction of change.
Read the paper test notes. Which finding should go below them?|Folded paper held more counters in this test.|Flat paper held more counters in this test.|Both papers held the same number of counters.|A finding compares the results: six counters is more than two.
Two snails were under a pot. The rest of the garden was not checked. Which sentence belongs in the report?|We found two snails under the pot.|Only two snails live in the whole garden.|All garden snails live under pots.|Report the place actually checked; the observation does not describe the whole garden.
A child writes: The sand was wet because it rained. They saw wet sand but did not see any rain. Which revision reports only what they know?|The sand was wet when I looked.|Rain made the sand wet before I looked.|The sand was dry before the rain.|Wetness was observed. Its cause and earlier state were not observed.
