"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","visual_description","visual_asset","visual_svg","response_type","acceptance_note"
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-001","Which game received the most votes?","A. Catch | B. Tag | C. Skip","Tag","The Tag bar reaches 6, higher than the other bars. Hint: Use the information in the question and check each step.","Bar graph: Catch 3, Tag 6, Skip 2; count scale 0 to 8 in ones.","/assets/assessment-visuals/year2/math/ac9m2st02.svg?v=20260906-year2-pending-release#ac9m2st02-p-001","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""25"" font-family=""Arial,sans-serif"" font-size=""22"" fill=""#17324d"" text-anchor=""middle"">Favourite game</text><text x=""65"" y=""54"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">Count</text><path d=""M105 250L565 250"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""256"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">0</text><path d=""M105 227L565 227"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""233"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">1</text><path d=""M105 204L565 204"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""210"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">2</text><path d=""M105 181L565 181"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""187"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">3</text><path d=""M105 158L565 158"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""164"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">4</text><path d=""M105 135L565 135"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""141"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">5</text><path d=""M105 112L565 112"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""118"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">6</text><path d=""M105 89L565 89"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""95"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">7</text><path d=""M105 66L565 66"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""72"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">8</text><rect x=""140"" y=""181"" width=""80"" height=""69"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""180"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Catch</text><rect x=""280"" y=""112"" width=""80"" height=""138"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""320"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Tag</text><rect x=""420"" y=""204"" width=""80"" height=""46"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""460"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Skip</text></svg>","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-002","How many votes did Skip receive?","A. 2 | B. 3 | C. 6","2","The Skip row has two circles and the key makes each circle one vote. Hint: Use the information in the question and check each step.","Picture graph: Catch 3 circles, Tag 6, Skip 2; one circle is one vote.","/assets/assessment-visuals/year2/math/ac9m2st02.svg?v=20260906-year2-pending-release#ac9m2st02-p-002","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""28"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">Favourite game</text><text x=""85"" y=""89"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Catch</text><circle cx=""185"" cy=""83"" r=""13"" fill=""#087fa5""/><circle cx=""228"" cy=""83"" r=""13"" fill=""#087fa5""/><circle cx=""271"" cy=""83"" r=""13"" fill=""#087fa5""/><text x=""85"" y=""154"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Tag</text><circle cx=""185"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""228"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""271"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""314"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""357"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""400"" cy=""148"" r=""13"" fill=""#087fa5""/><text x=""85"" y=""219"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Skip</text><circle cx=""185"" cy=""213"" r=""13"" fill=""#087fa5""/><circle cx=""228"" cy=""213"" r=""13"" fill=""#087fa5""/><circle cx=""195"" cy=""278"" r=""9"" fill=""#087fa5""/><text x=""350"" y=""284"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">= 1 vote (key)</text></svg>","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-003","A graph is made from this table. How high should its Catch bar reach?","A. 6 | B. 2 | C. 3","3","The Catch row records three votes. Hint: Use the information in the question and check each step.","Table: Catch 3, Tag 6, Skip 2 votes.","/assets/assessment-visuals/year2/math/ac9m2st02.svg?v=20260906-year2-pending-release#ac9m2st02-p-003","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""30"" font-family=""Arial,sans-serif"" font-size=""22"" fill=""#17324d"" text-anchor=""middle"">Favourite game</text><rect x=""140"" y=""55"" width=""200"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><rect x=""340"" y=""55"" width=""160"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><text x=""240"" y=""88"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Choice</text><text x=""420"" y=""88"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Votes</text><rect x=""140"" y=""108"" width=""200"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><rect x=""340"" y=""108"" width=""160"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><text x=""240"" y=""141"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Catch</text><text x=""420"" y=""141"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">3</text><rect x=""140"" y=""161"" width=""200"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><rect x=""340"" y=""161"" width=""160"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><text x=""240"" y=""194"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Tag</text><text x=""420"" y=""194"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">6</text><rect x=""140"" y=""214"" width=""200"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><rect x=""340"" y=""214"" width=""160"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><text x=""240"" y=""247"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Skip</text><text x=""420"" y=""247"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">2</text></svg>","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-004","What does one circle mean in this picture graph?","A. One game | B. One child in every category | C. One vote","One vote","The key assigns one vote to each circle. Hint: Use the information in the question and check each step.","Picture graph: Catch 3 circles, Tag 6, Skip 2; one circle is one vote.","/assets/assessment-visuals/year2/math/ac9m2st02.svg?v=20260906-year2-pending-release#ac9m2st02-p-004","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""28"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">Favourite game</text><text x=""85"" y=""89"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Catch</text><circle cx=""185"" cy=""83"" r=""13"" fill=""#087fa5""/><circle cx=""228"" cy=""83"" r=""13"" fill=""#087fa5""/><circle cx=""271"" cy=""83"" r=""13"" fill=""#087fa5""/><text x=""85"" y=""154"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Tag</text><circle cx=""185"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""228"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""271"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""314"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""357"" cy=""148"" r=""13"" fill=""#087fa5""/><circle cx=""400"" cy=""148"" r=""13"" fill=""#087fa5""/><text x=""85"" y=""219"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Skip</text><circle cx=""185"" cy=""213"" r=""13"" fill=""#087fa5""/><circle cx=""228"" cy=""213"" r=""13"" fill=""#087fa5""/><circle cx=""195"" cy=""278"" r=""9"" fill=""#087fa5""/><text x=""350"" y=""284"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">= 1 vote (key)</text></svg>","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-005","How many more votes did Tag receive than Catch?","A. 9 | B. 3 | C. 2","3","Read 6 and 3, then subtract: 6 minus 3 is 3. Hint: Use the information in the question and check each step.","Bar graph: Catch 3, Tag 6, Skip 2; count scale 0 to 8 in ones.","/assets/assessment-visuals/year2/math/ac9m2st02.svg?v=20260906-year2-pending-release#ac9m2st02-p-005","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""25"" font-family=""Arial,sans-serif"" font-size=""22"" fill=""#17324d"" text-anchor=""middle"">Favourite game</text><text x=""65"" y=""54"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">Count</text><path d=""M105 250L565 250"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""256"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">0</text><path d=""M105 227L565 227"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""233"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">1</text><path d=""M105 204L565 204"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""210"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">2</text><path d=""M105 181L565 181"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""187"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">3</text><path d=""M105 158L565 158"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""164"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">4</text><path d=""M105 135L565 135"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""141"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">5</text><path d=""M105 112L565 112"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""118"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">6</text><path d=""M105 89L565 89"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""95"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">7</text><path d=""M105 66L565 66"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""72"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">8</text><rect x=""140"" y=""181"" width=""80"" height=""69"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""180"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Catch</text><rect x=""280"" y=""112"" width=""80"" height=""138"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""320"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Tag</text><rect x=""420"" y=""204"" width=""80"" height=""46"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""460"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Skip</text></svg>","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-006","How many votes are represented altogether?","A. 11 | B. 9 | C. 6","11","Add all category counts: 3 plus 6 plus 2 is 11. Hint: Use the information in the question and check each step.","Table: Catch 3, Tag 6, Skip 2 votes.","/assets/assessment-visuals/year2/math/ac9m2st02.svg?v=20260906-year2-pending-release#ac9m2st02-p-006","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""30"" font-family=""Arial,sans-serif"" font-size=""22"" fill=""#17324d"" text-anchor=""middle"">Favourite game</text><rect x=""140"" y=""55"" width=""200"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><rect x=""340"" y=""55"" width=""160"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><text x=""240"" y=""88"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Choice</text><text x=""420"" y=""88"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Votes</text><rect x=""140"" y=""108"" width=""200"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><rect x=""340"" y=""108"" width=""160"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><text x=""240"" y=""141"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Catch</text><text x=""420"" y=""141"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">3</text><rect x=""140"" y=""161"" width=""200"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><rect x=""340"" y=""161"" width=""160"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><text x=""240"" y=""194"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Tag</text><text x=""420"" y=""194"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">6</text><rect x=""140"" y=""214"" width=""200"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><rect x=""340"" y=""214"" width=""160"" height=""53"" fill=""white"" stroke=""#17324d"" stroke-width=""2""/><text x=""240"" y=""247"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">Skip</text><text x=""420"" y=""247"" font-family=""Arial,sans-serif"" font-size=""19"" fill=""#17324d"" text-anchor=""middle"">2</text></svg>","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-007","What do the labels Catch, Tag and Skip tell you?","A. How many centimetres tall the graph is | B. Which game each bar represents | C. When the games were played","Which game each bar represents","Category labels connect each bar to its game. Hint: Use the information in the question and check each step.","Bar graph: Catch 3, Tag 6, Skip 2; count scale 0 to 8 in ones.","/assets/assessment-visuals/year2/math/ac9m2st02.svg?v=20260906-year2-pending-release#ac9m2st02-p-007","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""25"" font-family=""Arial,sans-serif"" font-size=""22"" fill=""#17324d"" text-anchor=""middle"">Favourite game</text><text x=""65"" y=""54"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">Count</text><path d=""M105 250L565 250"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""256"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">0</text><path d=""M105 227L565 227"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""233"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">1</text><path d=""M105 204L565 204"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""210"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">2</text><path d=""M105 181L565 181"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""187"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">3</text><path d=""M105 158L565 158"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""164"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">4</text><path d=""M105 135L565 135"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""141"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">5</text><path d=""M105 112L565 112"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""118"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">6</text><path d=""M105 89L565 89"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""95"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">7</text><path d=""M105 66L565 66"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""72"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">8</text><rect x=""140"" y=""181"" width=""80"" height=""69"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""180"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Catch</text><rect x=""280"" y=""112"" width=""80"" height=""138"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""320"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Tag</text><rect x=""420"" y=""204"" width=""80"" height=""46"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""460"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Skip</text></svg>","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-008","A fourth game receives no votes. How should a picture graph record it?","A. Put one symbol there to show the label | B. Copy the largest row | C. Label its row and put no vote symbols in it","Label its row and put no vote symbols in it","A zero category has a label but no count symbols. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-009","The table says Catch 3, Tag 6, Skip 2. This graph is meant to show the same data. What needs fixing?","A. The Catch and Tag bar heights are swapped | B. The Skip bar should be removed | C. Every bar should reach 6","The Catch and Tag bar heights are swapped","The displayed bars assign 6 to Catch and 3 to Tag, reversing those two counts. Hint: Use the information in the question and check each step.","Bar graph: Catch 6, Tag 3, Skip 2; scale in ones.","/assets/assessment-visuals/year2/math/ac9m2st02.svg?v=20260906-year2-pending-release#ac9m2st02-p-009","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""25"" font-family=""Arial,sans-serif"" font-size=""22"" fill=""#17324d"" text-anchor=""middle"">Favourite game</text><text x=""65"" y=""54"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">Count</text><path d=""M105 250L565 250"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""256"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">0</text><path d=""M105 227L565 227"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""233"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">1</text><path d=""M105 204L565 204"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""210"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">2</text><path d=""M105 181L565 181"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""187"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">3</text><path d=""M105 158L565 158"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""164"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">4</text><path d=""M105 135L565 135"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""141"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">5</text><path d=""M105 112L565 112"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""118"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">6</text><path d=""M105 89L565 89"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""95"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">7</text><path d=""M105 66L565 66"" fill=""none"" stroke=""#cad6df"" stroke-width=""1""/><text x=""85"" y=""72"" font-family=""Arial,sans-serif"" font-size=""16"" fill=""#17324d"" text-anchor=""middle"">8</text><rect x=""140"" y=""112"" width=""80"" height=""138"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""180"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Catch</text><rect x=""280"" y=""181"" width=""80"" height=""69"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""320"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Tag</text><rect x=""420"" y=""204"" width=""80"" height=""46"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""460"" y=""280"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Skip</text></svg>","multiple-choice",""
"AC9M2ST02","Creating and comparing data representations","practice","AC9M2ST02-P-010","A bar graph and picture graph both show Catch 3, Tag 6, Skip 2. What do they share?","A. The count for each game | B. The shape of every mark | C. The same way of drawing each vote","The count for each game","They represent the same category counts using different visual forms. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
