id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LE04-P-001,AC9E2LE04,practice,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,fig,flag,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-002,AC9E2LE04,practice,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a list with commas,a title capital,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-003,AC9E2LE04,practice,sound pattern,Complete: The bright red kite flew out of sight. It danced all day in golden ___.,light,leaf,late,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-004,AC9E2LE04,practice,sound pattern,Which pair has the same ending sound?,chair / bear,chair / chalk,bear / bird,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-005,AC9E2LE04,practice,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,fig,flag,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-006,AC9E2LE04,practice,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a title capital,a list with commas,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-007,AC9E2LE04,practice,sound pattern,Complete: The bright red kite flew out of sight. It danced all day in golden ___.,light,late,leaf,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-008,AC9E2LE04,practice,sound pattern,Which pair has the same ending sound?,chair / bear,chair / chalk,bear / bird,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-009,AC9E2LE04,practice,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,flag,fig,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-010,AC9E2LE04,practice,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a list with commas,a title capital,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-011,AC9E2LE04,practice,sound pattern,Complete: The bright red kite flew out of sight. It danced all day in golden ___.,light,late,leaf,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-012,AC9E2LE04,practice,sound pattern,Which pair has the same ending sound?,chair / bear,bear / bird,chair / chalk,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-013,AC9E2LE04,practice,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,fig,flag,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-014,AC9E2LE04,practice,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a list with commas,a title capital,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-015,AC9E2LE04,practice,sound pattern,Complete: The bright red kite flew out of sight. It danced all day in golden ___.,light,leaf,late,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-016,AC9E2LE04,practice,sound pattern,Which pair has the same ending sound?,chair / bear,chair / chalk,bear / bird,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-017,AC9E2LE04,practice,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,fig,flag,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-018,AC9E2LE04,practice,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a title capital,a list with commas,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-019,AC9E2LE04,practice,sound pattern,Complete: The bright red kite flew out of sight. It danced all day in golden ___.,light,late,leaf,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-020,AC9E2LE04,practice,sound pattern,Which pair has the same ending sound?,chair / bear,chair / chalk,bear / bird,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-021,AC9E2LE04,practice,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,flag,fig,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-022,AC9E2LE04,practice,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a list with commas,a title capital,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-P-023,AC9E2LE04,practice,explain concept,Write or say two sentences that show the main idea of AC9E2LE04. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Rhythm Rhyme and Word Patterns.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LE04-P-024,AC9E2LE04,practice,apply concept,"Create a short Year 2 example question for AC9E2LE04, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
AC9E2LE04-T-001,AC9E2LE04,test,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,fig,flag,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-002,AC9E2LE04,test,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a list with commas,a title capital,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-003,AC9E2LE04,test,sound pattern,Complete: The bright red kite flew out of sight. It danced all day in golden ___.,light,leaf,late,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-004,AC9E2LE04,test,sound pattern,Which pair has the same ending sound?,chair / bear,chair / chalk,bear / bird,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-005,AC9E2LE04,test,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,fig,flag,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-006,AC9E2LE04,test,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a title capital,a list with commas,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-007,AC9E2LE04,test,sound pattern,Complete: The bright red kite flew out of sight. It danced all day in golden ___.,light,late,leaf,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-008,AC9E2LE04,test,sound pattern,Which pair has the same ending sound?,chair / bear,chair / chalk,bear / bird,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-009,AC9E2LE04,test,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,flag,fig,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-010,AC9E2LE04,test,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a list with commas,a title capital,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-011,AC9E2LE04,test,sound pattern,Complete: The bright red kite flew out of sight. It danced all day in golden ___.,light,late,leaf,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-012,AC9E2LE04,test,sound pattern,Which pair has the same ending sound?,chair / bear,bear / bird,chair / chalk,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-013,AC9E2LE04,test,sound pattern,The frog sat on a log in the fog. Which word rhymes with log?,fog,fig,flag,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-014,AC9E2LE04,test,sound pattern,"Clap the chant: “Tap, tap, tap on the map.” What pattern do you hear?",repeated rhythm and rhyme,a list with commas,a title capital,Rhythm and rhyme depend on repeated beats or ending sounds.,multiple_choice,
AC9E2LE04-T-015,AC9E2LE04,test,explain concept,Write or say two sentences that show the main idea of AC9E2LE04. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Rhythm Rhyme and Word Patterns.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LE04-T-016,AC9E2LE04,test,apply concept,"Create a short Year 2 example question for AC9E2LE04, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
