"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation"
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-001","A ruler's overhanging end moves quickly back and forth after it is flicked. What is this movement called?","A. stretching | B. vibration | C. spinning","B. vibration","A vibration is a quick back-and-forth movement."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-002","Which action makes a guitar string vibrate to produce a note?","A. carrying the guitar without touching the strings | B. looking at the string | C. plucking the string","C. plucking the string","Plucking pulls the string aside and releases it to vibrate."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-003","A player makes a triangle ring by tapping it with a beater. Which action makes the sound?","A. striking | B. blowing | C. stretching","A. striking","The beater strikes the triangle, making its metal vibrate."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-004","A sealed shaker contains dry beans. Why does shaking it make a rattling sound?","A. The beans stay still inside the container. | B. The lid must be open for the beans to sound. | C. The beans hit one another and the container.","C. The beans hit one another and the container.","Shaking makes the beans move and strike surfaces, producing vibrations."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-005","A child slides a stick across a washboard's ridges. Which action produces the scraping sound?","A. rubbing | B. plucking | C. blowing","A. rubbing","Rubbing the stick across the ridges makes parts vibrate and produces sound."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-006","A recorder makes a note when air is blown into it correctly. What vibrates inside it?","A. only the player's fingers | B. air | C. only the outside paint","B. air","Blowing into a recorder sets air inside it vibrating."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-007","What is vibrating when a drum is struck?","A. only the picture painted on its side | B. the stretched drum skin | C. only the drummer's chair","B. the stretched drum skin","The stretched surface vibrates after it is struck."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-008","While humming, a child gently rests fingers on the front of their throat and feels a buzz. What does this show?","A. Parts of the voice box vibrate when making sound. | B. Humming does not involve movement. | C. Only musical instruments can vibrate.","A. Parts of the voice box vibrate when making sound.","Vibrations from the voice box can be felt through the throat."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-009","A ringing bell becomes quiet when its vibrating metal is held firmly. Why?","A. Holding it makes its vibrations larger. | B. Holding it changes the metal into another material. | C. Holding it reduces its vibrations.","C. Holding it reduces its vibrations.","Reducing the bell's vibrations makes its sound fade."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-010","A drummer wants a softer sound from the same drum. Which action should they try?","A. tap more gently | B. strike harder | C. strike more often but just as hard","A. tap more gently","A gentler tap usually makes smaller vibrations and a softer sound."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-011","Two recordings of the same note have the same pitch, but one is louder. Which words compare them?","A. high and low | B. loud and soft | C. fast and slow beats","B. loud and soft","Loudness tells how loud or soft a sound is; pitch tells how high or low it is."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-012","A teacher's video shows two strings. One vibrates faster and makes a higher note. Which change matches a higher pitch?","A. larger vibrations only | B. fewer notes played | C. faster vibrations","C. faster vibrations","Faster vibrations produce a higher-pitched sound."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-013","The same ruler is clamped to a table. With a long overhang it makes a low note; with a short overhang it makes a high note. How can the player get the higher note again?","A. use the longer overhang | B. keep the long overhang and change its colour | C. use the shorter overhang","C. use the shorter overhang","The observations link the shorter vibrating length with the higher note."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-014","A guitar string is tightened and plucked. Its note becomes higher. What was changed to alter the sound?","A. which room held the guitar | B. how tight the string was | C. the colour of the string","B. how tight the string was","Changing a string's tightness can change how fast it vibrates and its pitch."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-015","A drum and a shaker play equally loud sounds. The drum goes 'boom' and the shaker rattles. What does this show?","A. Sounds can differ even when equally loud. | B. Equally loud sounds must sound alike. | C. Only the drum is producing vibrations.","A. Sounds can differ even when equally loud.","Different vibrating objects can make different kinds of sound at the same loudness."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-016","A speaker plays beside a thin stretched sheet with rice on it. Nothing touches the sheet, but the rice jiggles. What makes the rice move?","A. The speaker blows the rice with a fan. | B. Sound makes the sheet vibrate. | C. The rice must be touched by a hand.","B. Sound makes the sheet vibrate.","Sound energy reaches the sheet and causes vibrations that move the rice."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-017","Rice on a thin sheet moves when a nearby speaker plays and settles when it stops. Which observation links the movement to sound?","A. The sheet is round. | B. The rice is pale. | C. The movement starts and stops with the sound.","C. The movement starts and stops with the sound.","Movement changing with the sound supports a link between sound energy and vibration."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-018","A sound reaches an ear. Which thin part inside the ear vibrates to help us hear?","A. the eardrum | B. the earlobe | C. the outer ear's hair","A. the eardrum","Sound causes the eardrum to vibrate as part of hearing."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-019","A speaker is playing, but its cone moves too little to see easily. Which conclusion is sensible?","A. It may still be vibrating. | B. It cannot be vibrating. | C. All vibrations must be large enough to see.","A. It may still be vibrating.","Some sound-producing vibrations are too small or fast to see clearly."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-020","A plucked rubber band makes a sound that gradually fades. What usually happens to the size of its vibrations?","A. They become larger. | B. They remain equally large until the sound is gone. | C. They become smaller.","C. They become smaller.","As the vibrations become smaller, the sound becomes softer."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-021","A player taps a drum gently, then harder. The second sound is louder. Which explanation fits?","A. The harder tap stopped the drum skin moving. | B. The harder tap made larger vibrations. | C. The harder tap must have made a higher note.","B. The harder tap made larger vibrations.","A harder tap usually increases vibration size and loudness; it need not raise pitch."
"AC9S2U02","sound produced by vibrations","practice","ac9s2u02-p-022","A child says, 'Only striking can make a sound.' Which example disproves this?","A. tapping a triangle | B. hitting a drum | C. blowing a note on a recorder","C. blowing a note on a recorder","A recorder can make sound by blowing, so striking is not the only sound-making action."
