# Practice
A child predicted the sunny puddle would dry first. It did dry first. How does the result compare?|It matches the prediction this time.|It is the opposite of the prediction.|It tells us nothing about drying.|The observed outcome matches the expected outcome in this test.
A child predicted the red car would go farther. The blue car went farther. What should they say?|The result did not match my prediction.|The result matched because a car moved.|The red car went farther because I expected it.|The comparison must use what actually happened, not just whether something moved.
Two children watched the same bird. Both recorded that it flew to a branch. How do their observations compare?|They agree about where it went.|They disagree about where it went.|Neither child made an observation.|Both records describe the same movement to a branch.
A class predicted a paper cover would keep a toy dry. The toy became wet. What does the result show?|The cover did not keep it dry in this test.|The cover kept it dry in this test.|The prediction must have been about colour.|The observed wetness does not match the prediction of staying dry.
A child records a surprising result. Should it be kept?|Yes, it is part of what happened.|No, only expected results belong in the record.|No, it should be replaced with the prediction.|Unexpected observations are still evidence to compare with the prediction.
A class compares two towels using the same amount of water on each. What is this helping them do?|make the comparison fairer|ensure both towels absorb equally|avoid looking at the results|Using the same amount helps compare the towels; it does not guarantee equal results.
A ball rolled farther than predicted. What should be compared?|the predicted travel and the observed travel|the ball's colour and the child's name|only the child's favourite result|The comparison needs the same outcome in the prediction and the observation.
A child's prediction matches one trial. What can they say?|It matched in this trial.|It must match every future trial.|No more observations are possible.|One matching result supports the prediction for that trial, not every future situation.
Read the prediction and result cards. Which statement fits?|The result was the reverse of the prediction.|The result matched the prediction.|Only a prediction was recorded.|The prediction favoured A, while the observed result favoured B.
Two children counted insects in different garden patches. Their counts differ. What could help explain the difference?|They observed different places.|One child must have changed the record.|Different counts are never possible.|Different locations can contain different numbers, so disagreement need not mean dishonesty.
A child tests a strong push and a gentle push, but changes the car too. What makes the comparison unclear?|both the push and the car changed|the child wrote down both results|the cars were tested in the same room|The difference could be connected to either change, so it is hard to compare push strength alone.
A paper bridge held fewer counters than expected. Which question tests a way to make it stronger?|Would folding the paper help it hold more counters?|How long is the paper before it is folded?|How many counters were used today?|The question follows the observed weakness and suggests a related test.
Two observers watched the same plant at different times of day. One recorded more open flowers. What should they check?|whether the flowers changed between those times|which observer has the neater writing|whether to erase the smaller count|The observation times may explain the different records.
A child gives towel A ten drops and towel B twenty drops. Can that alone show which towel absorbs more under equal conditions?|No, the water amounts differ.|Yes, because both towels received water.|Yes, because twenty is a larger number.|The starting amounts differ, so this is not an equal comparison of the towels.
The results are A farther, B farther, then equal. What should the class report?|the results were mixed|A went farther in every trial|B went farther in every trial|The report must include all three outcomes, not select just one.
A seedling grew towards a window. Which question explores whether growth direction follows light?|Would it grow towards light from another direction?|How many leaves does the seedling have today?|How wide is the pot holding the seedling?|The question follows the observed relationship between light and growth direction.
Read the two observers' cards. What do they agree on?|the number of snails|the place where the snails were|both the count and the place|Both recorded four snails, but at different locations.
A group wants to compare two ramp heights. What should it keep the same with guidance?|the car and the place it rolls onto|the height of both ramps|only the names of the children|Keeping the car and surface the same helps focus the comparison on ramp height.
