"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation"
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-001","Which object is the planet where we live?","A. Earth | B. the Sun | C. the Moon","A. Earth","Earth is our home planet in the solar system."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-002","Which object is the star at the centre of our solar system?","A. Earth | B. the Sun | C. Mars","B. the Sun","The Sun is a star. Earth and Mars are planets."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-003","Which object travels around Earth?","A. Mars | B. the Sun | C. the Moon","C. the Moon","The Moon travels around Earth."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-004","Earth orbits the Sun. What does 'orbits' mean?","A. travels around | B. stays beside without moving | C. makes light for","A. travels around","An orbit is a path around another object."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-005","A sky record shows the Sun low in the morning, higher near midday and low late in the afternoon. What changes?","A. which planet we live on | B. where the Sun appears in the sky | C. which star is the Sun","B. where the Sun appears in the sky","The record describes changes in the Sun's apparent position."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-007","Which activity lets a class track the Sun's daily pattern without looking directly at it?","A. Count classroom lights at several times. | B. Draw one cloud at lunchtime. | C. Mark a fixed pole's shadow at several times.","C. Mark a fixed pole's shadow at several times.","A fixed pole's shadow changes as the Sun's apparent position changes."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-008","A fixed pole's shadow is long in the morning and shorter near midday. Which change helps explain this?","A. The Sun appears higher in the sky. | B. The pole has moved closer to the Sun. | C. The Moon appears brighter.","A. The Sun appears higher in the sky.","A higher Sun usually makes a shorter shadow on level ground."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-010","Which object can look like a bright crescent or a bright round disc in the night sky?","A. Mars | B. the Moon | C. the Sun","B. the Moon","The lit part of the Moon that we see changes shape over time."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-011","Which pair is labelled correctly?","A. Earth: star; Sun: planet | B. Earth: moon; Sun: star | C. Earth: planet; Sun: star","C. Earth: planet; Sun: star","Earth is a planet and the Sun is a star."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-016","Which pair could both be visible in a daytime sky?","A. the Sun and the Moon | B. the Sun and Earth's whole surface | C. the Moon and Earth's centre","A. the Sun and the Moon","The Moon can sometimes be seen during daylight."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-017","A planet card says: 'Saturn is famous for its wide, bright rings.' Which planet matches the card?","A. Earth | B. Saturn | C. Mars","B. Saturn","The information on the card identifies Saturn."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-020","Three evening records say: Monday, Moon above tree; Tuesday, Moon farther left; Wednesday, Moon farther left again. What changed?","A. the Moon's name | B. the number of moons around Earth | C. the Moon's position compared with the tree","C. the Moon's position compared with the tree","The records compare where the Moon appears beside a fixed landmark."
"AC9S2U01","Earth, space and observable sky patterns","practice","ac9s2u01-p-021","Which record best helps compare the Moon's position across nights?","A. Dated, timed drawings from the same spot with the same roof shown. | B. One large drawing without a date or time. | C. Drawings from different places without landmarks.","A. Dated, timed drawings from the same spot with the same roof shown.","Dates, times and a fixed viewing place help make position comparisons clear."
