Look at the two book images. Which one helps a reader name parts of a plant?|Image B, with labels pointing to parts.|Image A, with a smiling flower character.|Both show labels pointing to roots.|Labels connect names to visible parts in the information image.
A story picture shows a child grinning while opening a gift. What can the picture add to 'The child opened it'?|A clue that the child is pleased.|The exact price of the gift.|The date the gift was bought.|A facial expression adds a feeling that the short sentence does not name.
A recipe picture shows hands folding dough. What does this image help explain?|How to do a step.|Which character is the villain.|Why the cook likes stories.|An action picture can show how to carry out an instruction.
A map picture shows a path from the gate to a pond. What does it help the reader understand?|Where to go.|How the pond smells.|What happened yesterday.|A map communicates position and route.
Look at the two house images. Which belongs with instructions for finding the pond?|Image B, showing places and a route.|Image A, showing a house character.|Both explain the house's feelings.|A route image helps with navigation, unlike the story character image.
A story says, 'The room was empty.' The picture shows a kitten under a chair. What extra information does the image give?|A hidden animal is still there.|The room has no living things.|The kitten's exact age.|The image reveals something not named by the words.
An information book has a close-up image of a feather. What can the close-up help you notice?|Small details in its structure.|The bird's name without any clue.|What the bird will do tomorrow.|A close-up makes small visible features easier to examine.
A poster has a crossed-out picture of a running person. What does the image help communicate?|A message not to run.|A story about winning a race.|A count of all runners.|The crossing-out mark changes the running picture into a prohibition.
Look at the two tree images. How do their purposes differ?|A creates a story character; B names real tree parts.|A labels roots; B shows a tree speaking.|Both only tell a reader where to walk.|The speech bubble gives a tree a character role; the labels support factual learning.
A comic shows a person with a thought bubble. A science diagram uses label lines. What does each help show?|The comic shows a thought; the diagram names parts.|Both show the exact words spoken aloud.|The comic names parts; the diagram shows dreams.|Different image features serve different meaning-making purposes.
A story drawing makes a mouse larger than a house. An animal fact book shows a mouse beside a ruler. Why might the sizes differ?|One can create fantasy; the other helps show actual size.|All drawings must use the same size.|The larger drawing proves mice are bigger than houses.|Image choices depend on whether the purpose is imaginative or factual.
An instruction page shows three numbered pictures: fill a pot, add a seed, water it. What do the numbers add?|The order to follow.|The price of each object.|The size of the finished plant.|Numbers link the pictures into a sequence of steps.
Look at the story face and the face diagram. What does Image A help the reader infer?|How the character may feel.|The names of the face parts.|The exact height of the character.|The downward mouth and tears provide feeling clues; the other image uses part labels.
A history book includes an old photograph of a street. A story includes a drawing of a floating street. How do these contribute differently?|The photo records a past view; the drawing creates an imagined setting.|Both prove that streets once floated.|The drawing must be more accurate because it is colourful.|Photographs can document a scene; fantasy illustrations can depict impossible events.
A page says, 'Mix the colours.' A picture shows blue and yellow becoming green. What does the image clarify?|Which colours are mixed and the result.|Who invented paint.|How much the paint costs.|The picture supplies specific information missing from the brief words.
A character says, 'I am brave,' but the illustration shows shaking knees beside a dark cave. What might the picture suggest?|The character may feel afraid despite the words.|The cave must be full of treasure.|The character is definitely asleep.|Body clues can add a feeling that differs from the character's claim.
Look at the two rain images. Which comparison fits?|A makes rain part of a character scene; B shows a weather amount.|Both show how a character feels.|A gives the rainfall amount; B shows a talking cloud.|The story image personifies a cloud; the gauge image communicates a measured amount.
A book about fish has an image labelled fin and tail. A fish story has a fish wearing a crown. Which is more useful for identifying body parts?|The labelled fish image.|The crowned fish image.|Neither image can support meaning.|The labels directly connect body-part vocabulary to the picture.
A child chooses a smiling sun drawing to show tomorrow's exact temperature. What is missing?|A temperature value or other precise temperature information.|A second smile on the sun.|A larger decorative border.|A cheerful sun image alone cannot supply an exact temperature.
A warning poster makes a hazard picture large. A story uses a large picture of its main character. What is similar?|Both draw attention to something important for their purpose.|Both must be giving safety instructions.|Both must show events in time order.|Size can guide attention even when the texts have different purposes.
Look at the two boat images. Which one explains a direction of movement most directly?|Image B, with a labelled direction arrow.|Image A, with a boat saying hello.|Both show the boat's speed as a number.|The arrow communicates direction; the speech bubble creates a character voice.
A caption says, 'The bird is feeding its chick.' The photo shows a bird's beak near a chick's open mouth. How do they work together?|The words name the action and the photo shows it.|The photo proves the chick can read.|The words make the photo unnecessary in every case.|The caption interprets the visible action and the image supplies detail.
A comic image shows a dog holding a trophy. Does that image alone tell you exactly how it won?|No; more story information is needed.|Yes; it must have won a swimming race.|Yes; every trophy is for the same event.|The trophy suggests success but does not identify the event or method.
A nature guide needs to help readers recognise a leaf's edge. Which image choice best fits?|A clear close-up of the edge.|A tiny leaf hidden behind a title.|A leaf character covered by a speech bubble.|Relevant detail must be visible to support identification.
