id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LA09-P-001,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “crept” in: The kitten crept under the chair.,moved quietly,shouted loudly,a comma in a list,Vocabulary should suit the topic and action.,multiple_choice,
AC9E2LA09-P-002,AC9E2LA09,practice,vocabulary choice,"Which meaning or role best fits the word “Next” in: First, rinse the rice. Next, add water.",time order,feeling word,a comma in a list,Time-order words organise steps.,multiple_choice,
AC9E2LA09-P-003,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “observed” in: The scientist observed the beetle.,looked carefully,a comma in a list,forgot quickly,Topic vocabulary can be more precise than everyday words.,multiple_choice,
AC9E2LA09-P-004,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “enormous” in: The giant was enormous.,very large,very tiny,a comma in a list,Context and synonyms help choose strong vocabulary.,multiple_choice,
AC9E2LA09-P-005,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “crept” in: The kitten crept under the chair.,moved quietly,shouted loudly,a comma in a list,Vocabulary should suit the topic and action.,multiple_choice,
AC9E2LA09-P-006,AC9E2LA09,practice,vocabulary choice,"Which meaning or role best fits the word “Next” in: First, rinse the rice. Next, add water.",time order,a comma in a list,feeling word,Time-order words organise steps.,multiple_choice,
AC9E2LA09-P-007,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “observed” in: The scientist observed the beetle.,looked carefully,forgot quickly,a comma in a list,Topic vocabulary can be more precise than everyday words.,multiple_choice,
AC9E2LA09-P-008,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “enormous” in: The giant was enormous.,very large,very tiny,a comma in a list,Context and synonyms help choose strong vocabulary.,multiple_choice,
AC9E2LA09-P-009,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “crept” in: The kitten crept under the chair.,moved quietly,a comma in a list,shouted loudly,Vocabulary should suit the topic and action.,multiple_choice,
AC9E2LA09-P-010,AC9E2LA09,practice,vocabulary choice,"Which meaning or role best fits the word “Next” in: First, rinse the rice. Next, add water.",time order,feeling word,a comma in a list,Time-order words organise steps.,multiple_choice,
AC9E2LA09-P-011,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “observed” in: The scientist observed the beetle.,looked carefully,forgot quickly,a comma in a list,Topic vocabulary can be more precise than everyday words.,multiple_choice,
AC9E2LA09-P-012,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “enormous” in: The giant was enormous.,very large,a comma in a list,very tiny,Context and synonyms help choose strong vocabulary.,multiple_choice,
AC9E2LA09-P-013,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “crept” in: The kitten crept under the chair.,moved quietly,shouted loudly,a comma in a list,Vocabulary should suit the topic and action.,multiple_choice,
AC9E2LA09-P-014,AC9E2LA09,practice,vocabulary choice,"Which meaning or role best fits the word “Next” in: First, rinse the rice. Next, add water.",time order,feeling word,a comma in a list,Time-order words organise steps.,multiple_choice,
AC9E2LA09-P-015,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “observed” in: The scientist observed the beetle.,looked carefully,a comma in a list,forgot quickly,Topic vocabulary can be more precise than everyday words.,multiple_choice,
AC9E2LA09-P-016,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “enormous” in: The giant was enormous.,very large,very tiny,a comma in a list,Context and synonyms help choose strong vocabulary.,multiple_choice,
AC9E2LA09-P-017,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “crept” in: The kitten crept under the chair.,moved quietly,shouted loudly,a comma in a list,Vocabulary should suit the topic and action.,multiple_choice,
AC9E2LA09-P-018,AC9E2LA09,practice,vocabulary choice,"Which meaning or role best fits the word “Next” in: First, rinse the rice. Next, add water.",time order,a comma in a list,feeling word,Time-order words organise steps.,multiple_choice,
AC9E2LA09-P-019,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “observed” in: The scientist observed the beetle.,looked carefully,forgot quickly,a comma in a list,Topic vocabulary can be more precise than everyday words.,multiple_choice,
AC9E2LA09-P-020,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “enormous” in: The giant was enormous.,very large,very tiny,a comma in a list,Context and synonyms help choose strong vocabulary.,multiple_choice,
AC9E2LA09-P-021,AC9E2LA09,practice,vocabulary choice,Which meaning or role best fits the word “crept” in: The kitten crept under the chair.,moved quietly,a comma in a list,shouted loudly,Vocabulary should suit the topic and action.,multiple_choice,
AC9E2LA09-P-022,AC9E2LA09,practice,vocabulary choice,"Which meaning or role best fits the word “Next” in: First, rinse the rice. Next, add water.",time order,feeling word,a comma in a list,Time-order words organise steps.,multiple_choice,
AC9E2LA09-P-023,AC9E2LA09,practice,explain concept,Write or say two sentences that show the main idea of AC9E2LA09. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Vocabulary for Topic and Meaning.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LA09-P-024,AC9E2LA09,practice,apply concept,"Create a short Year 2 example question for AC9E2LA09, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
