id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LY10-P-001,AC9E2LY10,practice,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bat,bite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-002,AC9E2LY10,practice,sound letter patterns,Which word has a silent letter?,knee,nest,kite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-003,AC9E2LY10,practice,sound letter patterns,Which word is a compound word?,sunset,setting,sunny,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-004,AC9E2LY10,practice,sound letter patterns,Choose the word with final blend st.,nest,net,need,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-005,AC9E2LY10,practice,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bat,bite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-006,AC9E2LY10,practice,sound letter patterns,Which word has a silent letter?,knee,kite,nest,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-007,AC9E2LY10,practice,sound letter patterns,Which word is a compound word?,sunset,sunny,setting,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-008,AC9E2LY10,practice,sound letter patterns,Choose the word with final blend st.,nest,net,need,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-009,AC9E2LY10,practice,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bite,bat,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-010,AC9E2LY10,practice,sound letter patterns,Which word has a silent letter?,knee,nest,kite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-011,AC9E2LY10,practice,sound letter patterns,Which word is a compound word?,sunset,sunny,setting,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-012,AC9E2LY10,practice,sound letter patterns,Choose the word with final blend st.,nest,need,net,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-013,AC9E2LY10,practice,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bat,bite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-014,AC9E2LY10,practice,sound letter patterns,Which word has a silent letter?,knee,nest,kite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-015,AC9E2LY10,practice,sound letter patterns,Which word is a compound word?,sunset,setting,sunny,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-016,AC9E2LY10,practice,sound letter patterns,Choose the word with final blend st.,nest,net,need,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-017,AC9E2LY10,practice,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bat,bite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-018,AC9E2LY10,practice,sound letter patterns,Which word has a silent letter?,knee,kite,nest,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-019,AC9E2LY10,practice,sound letter patterns,Which word is a compound word?,sunset,sunny,setting,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-020,AC9E2LY10,practice,sound letter patterns,Choose the word with final blend st.,nest,net,need,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-021,AC9E2LY10,practice,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bite,bat,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-022,AC9E2LY10,practice,sound letter patterns,Which word has a silent letter?,knee,nest,kite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-P-023,AC9E2LY10,practice,explain concept,Write or say two sentences that show the main idea of AC9E2LY10. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Sound-letter Patterns in Multisyllable Words.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LY10-P-024,AC9E2LY10,practice,apply concept,"Create a short Year 2 example question for AC9E2LY10, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
AC9E2LY10-T-001,AC9E2LY10,test,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bat,bite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-002,AC9E2LY10,test,sound letter patterns,Which word has a silent letter?,knee,nest,kite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-003,AC9E2LY10,test,sound letter patterns,Which word is a compound word?,sunset,setting,sunny,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-004,AC9E2LY10,test,sound letter patterns,Choose the word with final blend st.,nest,net,need,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-005,AC9E2LY10,test,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bat,bite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-006,AC9E2LY10,test,sound letter patterns,Which word has a silent letter?,knee,kite,nest,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-007,AC9E2LY10,test,sound letter patterns,Which word is a compound word?,sunset,sunny,setting,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-008,AC9E2LY10,test,sound letter patterns,Choose the word with final blend st.,nest,net,need,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-009,AC9E2LY10,test,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bite,bat,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-010,AC9E2LY10,test,sound letter patterns,Which word has a silent letter?,knee,nest,kite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-011,AC9E2LY10,test,sound letter patterns,Which word is a compound word?,sunset,sunny,setting,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-012,AC9E2LY10,test,sound letter patterns,Choose the word with final blend st.,nest,need,net,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-013,AC9E2LY10,test,sound letter patterns,Choose the word with the vowel digraph oa.,boat,bat,bite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-014,AC9E2LY10,test,sound letter patterns,Which word has a silent letter?,knee,nest,kite,"Sound-letter knowledge includes digraphs, blends, silent letters, syllables and compound words.",multiple_choice,
AC9E2LY10-T-015,AC9E2LY10,test,explain concept,Write or say two sentences that show the main idea of AC9E2LY10. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Sound-letter Patterns in Multisyllable Words.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LY10-T-016,AC9E2LY10,test,apply concept,"Create a short Year 2 example question for AC9E2LY10, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
