"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","visual_description","visual_asset","visual_svg","response_type","acceptance_note"
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-001","How many straight sides does this shape have?","A. 4 | B. 5 | C. 6","5","Trace its boundary once and count each of the five segments. Hint: Use the information in the question and check each step.","An irregular closed polygon with five straight sides.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-001","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><polygon points=""210,65 420,65 455,155 345,240 190,190"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-002","Which name fits this shape?","A. Hexagon | B. Pentagon | C. Triangle","Hexagon","A hexagon has six straight sides, including when its sides are unequal. Hint: Use the information in the question and check each step.","An irregular six-sided polygon.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-002","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><polygon points=""200,60 390,60 450,130 420,230 250,245 175,155"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-003","Which statement describes both shapes?","A. They each have four straight sides | B. They each have three corners | C. They have no straight sides","They have no straight sides","A circle and an oval both have entirely curved boundaries. Hint: Use the information in the question and check each step.","A is a circle; B is an oval. Both have entirely curved boundaries.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-003","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""190"" cy=""145"" r=""85"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""3""/><ellipse cx=""460"" cy=""145"" rx=""105"" ry=""65"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""3""/><text x=""190"" y=""270"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">A</text><text x=""460"" y=""270"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">B</text></svg>","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-004","How is this shape’s boundary made?","A. Only straight parts | B. Two straight parts and no curve | C. One curved part and one straight part","One curved part and one straight part","The semicircle has an arc and a straight diameter. Hint: Use the information in the question and check each step.","Semicircle with a curved arc above one horizontal straight boundary.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-004","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><path d=""M190 220 A130 130 0 0 1 450 220 Z"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-005","Which labelled side is opposite side A?","A. B | B. C | C. D","C","C faces A across the rectangle and shares no endpoint with it. Hint: Use the information in the question and check each step.","Rectangle: top side A, right B, bottom C, left D.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-005","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""155"" y=""70"" width=""330"" height=""160"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""2""/><text x=""320"" y=""58"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">A</text><text x=""510"" y=""158"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">B</text><text x=""320"" y=""265"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">C</text><text x=""130"" y=""158"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">D</text></svg>","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-006","Which pair meets at a corner?","A. A and B | B. A and C | C. B and D","A and B","Top A meets right B at the top-right corner. Hint: Use the information in the question and check each step.","Rectangle: top side A, right B, bottom C, left D.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-006","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""155"" y=""70"" width=""330"" height=""160"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""2""/><text x=""320"" y=""58"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">A</text><text x=""510"" y=""158"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">B</text><text x=""320"" y=""265"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">C</text><text x=""130"" y=""158"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">D</text></svg>","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-007","What does “parallel” mean for two straight sides?","A. They must touch at a corner | B. Their lines stay the same distance apart and do not meet | C. They must have different colours","Their lines stay the same distance apart and do not meet","Parallel sides lie on lines that do not converge or cross. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-008","Which pair of sides is parallel?","A. A and B | B. C and D | C. B and D","B and D","The left and right sides remain the same distance apart. Hint: Use the information in the question and check each step.","Rectangle: top side A, right B, bottom C, left D.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-008","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""155"" y=""70"" width=""330"" height=""160"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""2""/><text x=""320"" y=""58"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">A</text><text x=""510"" y=""158"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">B</text><text x=""320"" y=""265"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">C</text><text x=""130"" y=""158"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">D</text></svg>","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-009","The square has been turned. What shape is it now?","A. A square | B. A triangle | C. A pentagon","A square","Turning does not change its four equal sides or square corners. Hint: Use the information in the question and check each step.","A square rotated so one corner points upwards.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-009","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><polygon points=""320,30 440,150 320,270 200,150"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
"AC9M2SP01","Comparing and classifying two-dimensional shapes","practice","AC9M2SP01-P-010","Is this a triangle even though its sides have different lengths?","A. Yes; it has three straight sides | B. No; triangles need three equal sides | C. No; triangles must point straight up","Yes; it has three straight sides","Triangles are defined by three straight sides, not equal side lengths. Hint: Use the information in the question and check each step.","Scalene triangle, three straight sides of different lengths.","/assets/assessment-visuals/year2/math/ac9m2sp01.svg?v=20260906-year2-pending-release#ac9m2sp01-p-010","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><polygon points=""180,240 450,240 385,45"" fill=""#c5e6f5"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
