# Practice
A class sorts leaves by their edges. Which pair of labels uses that feature?|smooth edge / jagged edge|green / brown|large / small|The first labels sort by edges; the other pairs use colour or size.
Shells are being sorted into 'striped' and 'not striped'. Where does a shell with a visible stripe belong?|striped|not striped|both groups at once|The observed stripe matches the stated grouping rule.
A class records beetles and worms separately. What should each table row be labelled with?|the animal group|the child's favourite animal|a different day with no animal name|Group labels tell readers what each count represents.
Look at the bird picture graph. Which group was counted most?|ducks|magpies|both equally|The duck row contains more one-bird symbols.
Rainy, dry, rainy, dry are four daily records in order. Which display keeps that order?|rainy, dry, rainy, dry|dry, dry, rainy, rainy|rainy, rainy, dry, dry|A time sequence keeps the observations in their original order.
A class groups rocks as rough or smooth. What feature are they using?|surface texture|colour|length|Rough and smooth describe texture.
A table shows 3 snails and 3 beetles. How do the counts compare?|the counts are equal|there are more snails|there are more beetles|Both groups have the same count.
Each picture in a graph means one butterfly. How many pictures should show four butterflies?|four|one|five|A one-to-one picture graph uses one symbol for every butterfly counted.
Use the leaf table. Which group contains the fewest leaves?|jagged edge|smooth edge|both groups equally|The jagged-edge row has the smaller count.
A leaf has a smooth edge but is brown. The groups are 'smooth edge' and 'jagged edge'. Where does it belong?|smooth edge|jagged edge because it is brown|neither group because it is brown|The sorting rule is edge type, so colour does not change its group.
A class sorts seeds by colour. One seed was placed in two groups. What should happen?|use the rule to place and count it once|keep it in both to raise the total|remove it from every group without checking|A single seed should not be counted twice in this sort.
A class recorded 2 wet days and 4 dry days. Which picture graph matches if each picture is one day?|Wet: 2 pictures; dry: 4 pictures|Wet: 4 pictures; dry: 2 pictures|Wet: 3 pictures; dry: 3 pictures|The graph must keep each category's actual count.
Three seedling photos show a shoot appearing, two leaves, then four leaves. Which order shows the observed growth?|shoot, two leaves, four leaves|four leaves, shoot, two leaves|two leaves, four leaves, shoot|The sequence should follow the observed stages over time.
A data table has counts 4, 2 and 5 but no group names. What is missing?|labels telling what each count is for|a larger number in each row|a prediction instead of the counts|Counts need labels so the reader knows what was observed.
A class sorts objects by whether they floated in its test. A wooden piece sank. Where should its test card go?|sank|floated because it is wood|both groups because it was tested|The grouping rule uses the observed result, not an assumption about the material.
A weather display shows sunny, cloudy, rainy. Its dates are Wednesday, Monday, Tuesday. How should it be arranged by day?|cloudy, rainy, sunny|sunny, cloudy, rainy|rainy, sunny, cloudy|Matching each record to its date puts Monday first, then Tuesday and Wednesday.
Read the garden counts. Which comparison is correct?|Ants and beetles are equal; worms are fewer.|Worms are most; ants are fewest.|All three counts are equal.|The table shows equal ant and beetle counts and a smaller worm count.
A class counted six shells. Its graph has seven one-shell pictures. What needs checking?|whether a shell was shown twice or an extra picture was added|whether the graph title is short enough|whether seven is a nicer number|The display's total should agree with the recorded count.
A leaf sort uses 'has spots' and 'no spots'. A leaf is small and spotted. What matters for its group?|whether it has spots|whether it is small|whether it is the newest leaf|Only the stated sorting feature determines its group.
A chart shows the same bird count on three mornings. Which description fits?|the recorded count stayed the same|the recorded count rose each morning|the recorded count fell each morning|Equal recorded counts show no change across those observations.
Use the rainfall-day record. Which description matches these four weeks?|the counts alternate between 1 and 3|the counts increase every week|the counts stay at 3|The sequence repeats 1, 3, 1, 3 in the supplied record.
