ac9s2h01-p-041	A rain gauge fills each week. Who could use its readings to plan a school garden?	The person deciding when to water	The person choosing pencil colours	The person counting library books	Rain measurements help gardeners decide whether extra water is needed.
ac9s2h01-p-042	A shoemaker tests soles on a smooth floor. What useful feature is being checked?	How well the soles grip	How loudly the laces rustle	How bright the shoe box is	Testing grip helps a shoemaker choose soles that reduce slipping.
ac9s2h01-p-043	A beach closes after water tests find pollution. What guided this decision?	Evidence from the water tests	The colour of the beach sign	The number of beach umbrellas	Test results can guide decisions that protect people.
ac9s2h01-p-044	A school bell is hard to hear in the far classroom. What could staff investigate?	Where the bell can be heard clearly	Which desk is the oldest	How many windows are painted blue	Checking sound in different places can help improve a warning system.
ac9s2h01-p-045	A worker tests handles before choosing one for a hot pan. What would be useful to find out?	Which handle stays cooler	Which handle has the longest name	Which handle matches a plate	Testing materials helps people choose a handle that is safer to hold.
ac9s2h01-p-046	A gardener sees frost on the same exposed bed on several cold mornings. What might help protect new plants there?	Covering them before another frosty night	Watering their leaves with paint	Moving them there after frost appears	A repeated frost pattern helps the gardener plan protection in advance.
ac9s2h01-p-047	A lifeguard checks tide information before a beach activity. What can this help predict?	How the water level may change	The names of tomorrow's swimmers	The colour of every shell	Tide records show repeating changes in water level.
ac9s2h01-p-048	An optician tests a child's sight before choosing glasses. Why test first?	To find out what help the child needs	To choose the brightest case	To make every child use the same lenses	Observations from a sight test guide the choice of lenses.
ac9s2i01-p-041	Water beads on a waxy leaf but spreads on paper. What could you ask next?	Does water spread the same way on both surfaces?	Which surface has the nicest name?	Does water prefer green things?	The question follows a visible difference and can be checked with drops of water.
ac9s2i01-p-042	A sponge springs back after a gentle squeeze. Predict what a second gentle squeeze may do.	It may spring back again	It will become a stone	It will stay flat forever	The first squeeze provides a reason to expect the sponge to return to its shape.
ac9s2i01-p-043	A seed pod rattles when shaken. What question could help explain the sound?	Does the sound change when the seeds cannot move?	Is the pod the best one?	Does the pod enjoy being shaken?	Comparing moving and held-still seeds can help explore what makes the sound.
