'I like this soup because it warms me up.' Which part gives the reason?|because it warms me up|I like this soup|this soup|The reason explains why the speaker likes the soup.
Which sentence gives a reason for disliking a jumper?|I dislike it because it feels scratchy.|I dislike this jumper very much.|This is the jumper I dislike.|Scratchy explains what makes the jumper unpleasant to wear.
'I prefer the window seat because I can see outside.' What explains the choice?|Being able to see outside.|Having a seat on the bus.|Knowing the seat is a seat.|The speaker connects the preference with the view.
Which word joins a preference to its reason: 'I like pears ___ they are juicy'?|because|before|although|Because introduces an explanation for the preference.
'I don't like loud music because it hurts my ears.' What is the dislike about?|The music being too loud.|The music being too quiet.|The music having no sound.|The reason identifies loudness as the problem.
Which sentence gives both a like and a reason?|I like drawing because I can make my own pictures.|Drawing happens after lunch.|I really, really like drawing.|Making original pictures explains why drawing is enjoyable.
'I choose the soft cushion because it feels comfortable.' Which word describes the liked quality?|comfortable|choose|cushion|Comfortable names the quality behind the preference.
Which words finish a clear reason: 'I like this puzzle because ___'?|its tricky pieces make me think|it is the puzzle I like|I like it very much|The challenge explains the liking; repeating like does not.
'I prefer boots to sandals on wet days.' Which reason supports this choice?|The boots keep my feet dry.|The sandals let water reach my toes.|I own both boots and sandals.|Keeping feet dry explains choosing boots in wet weather.
A child likes quiet places to read. Which explanation fits choosing the small reading room?|I choose it because there is less noise.|I choose it because everyone shouts there.|I choose it because reading is a word.|The reason needs to match the stated preference for quiet.
'I like the blue bowl better than the red bowl because it holds more cereal.' What matters most in this reason?|How much the bowl holds.|Which colour is the brightest.|Who washed the bowl.|The stated reason concerns capacity, not colour.
'I dislike the slide because it is too high for me.' Which reply keeps the same reason?|I don't enjoy it because its height worries me.|I don't enjoy it because it is too low.|I don't enjoy it because I dislike slides.|The revised sentence preserves the concern about height.
Which sentence improves 'I like this book' by adding a relevant reason?|I like this book because the funny dog makes me laugh.|I like this book and this is a book.|I like this book because books are called books.|The funny character gives a specific reason for enjoying it.
A child prefers oranges for their tangy taste. Which sentence expresses that preference?|I prefer oranges because I enjoy their tangy taste.|I prefer oranges because I dislike tangy food.|I prefer oranges because my shoes are orange.|The reason must match the taste the child enjoys.
'I like rainy afternoons because I can splash in puddles.' Which activity is the reason?|Splashing in puddles.|Waiting for the afternoon.|Looking at a dry path.|The sentence links rainy afternoons to a liked activity.
