# Practice: question | correct answer | distractor | distractor | explanation
A hand presses a toy trolley away. Which force is used?|a push|a pull|no force|Pressing the trolley away applies a push.
A child draws a toy wagon closer using its handle. Which force is used?|a pull|a push|no force|The handle is used to pull the wagon closer.
A soft sponge is squeezed between two hands. What changes most clearly?|its shape|its colour|its material|The pushes squash the sponge and change its shape.
A still ball starts rolling after a kick. What did the push change?|its motion|its colour|what it is made of|The kick made the ball start moving.
Look at the arrow showing the push on the block. Which way is the push directed?|right|left|up|The arrow points to the right.
A child presses down on soft dough. What is most likely to happen?|it becomes flatter|it becomes taller without spreading|its colour changes|A downward push can squash soft dough flatter.
A ribbon is held at both ends and gently pulled straight. Which force is used?|a pull|a push|no force|The ends are pulled apart to straighten the ribbon.
A hand catches a gently rolling ball and holds it still. What changed?|the ball stopped|the ball sped up|the ball changed colour|The hand's force stopped the ball's motion.
The two arrows show pushes in different directions. Which push points towards the ramp?|Push B|Push A|both pushes|Push B points towards the ramp; Push A points away from it.
The same empty trolley gets a gentle push, then a stronger push from rest. What is likely after the stronger push?|it starts moving faster|it must move backwards|its colour changes|With the same trolley and conditions, a stronger push can make it start faster.
A rolling ball is tapped from the side. What can this change?|the direction it rolls|the material it is made of|its colour|A sideways push can change the ball's direction.
A drawer is pulled open and then pushed shut. Which action brings it towards the person?|pulling it open|pushing it shut|both actions|Pulling opens the drawer towards the person; pushing moves it back in.
A toy car rolls towards a hand. The hand gently pushes against its movement. What can happen?|the car slows down|the car must speed up|the car turns into a different toy|A push against the direction of movement can slow the car.
The dough pictures show before and after a squeeze. What changed?|shape|colour|material|The dough is flatter after the squeeze but remains the same material and colour.
A soft sponge and a wooden block get similar gentle presses. Which is more likely to squash?|the sponge|the wooden block|both must squash equally|A soft sponge changes shape more easily under a gentle press.
A child wants a still toy boat to move away across a tub. Which action would help?|a gentle push away|a pull towards the child|holding it still|A push away can start the boat moving in that direction.
The car test uses the same car, floor and starting line. Which push sent it farther in this test?|Push B|Push A|both went equally far|The endpoint for Push B is farther from the shared starting line.
A flexible band is pulled gently at both ends. What change can be seen?|it gets longer|it becomes a new colour|it becomes a different material|Pulling can stretch the band and change its shape.
A toy wagon rolls left. A child wants it to turn right. What needs to change?|the direction of the force applied|only the wagon's colour|only the name of the wagon|A force in a different direction can change where the wagon moves.
A sponge stays in the same place while being squeezed. Did the pushes do anything?|Yes, they changed its shape.|No, forces only change places.|No, a push must change colour.|A force can change shape even when an object does not travel elsewhere.
Use the push-test record. Which result matches the stronger push?|the longer travel shown in Test 2|the shorter travel shown in Test 1|no movement in either test|The record shows the car travelled farther in Test 2 with the stronger push.
A ball rolls towards a low goal. A sideways tap makes it miss. What did the tap change?|its direction|its colour|its material|The sideways force changed the path of the rolling ball.
A child pulls a toy on a string, but the toy catches on a block and stays still. Was a pull applied?|Yes, even though the toy did not move.|No, a pull always causes movement.|No, strings can only push.|A force can be applied without movement when something stops the object.
Two pictures show the same soft ball before and after a squeeze. What is the best description?|the pushes changed its shape|the pushes changed its colour|the ball became a new material|The squeezed ball is flatter. The observed change is in shape.
# Test
A child presses a cupboard door away to close it. Which force is used?|a push|a pull|no force|Pressing the door away applies a push.
A hand draws a basket closer by its handle. Which force is used?|a pull|a push|no force|Drawing the basket closer by its handle applies a pull.
A foot stops a slowly rolling ball. What changed?|its motion|its colour|its material|The ball changed from moving to still.
Look at the force arrow on the block. Which way does it point?|left|right|down|The arrow shows a force directed to the left.
A child gently squeezes a lump of clay. Which change is most likely?|its shape changes|its colour changes|it becomes wood|Clay can change shape when squeezed.
The same cart is pushed from rest on the same floor. Which push is likely to start it faster?|a stronger push|a gentler push|both must always give the same speed|A stronger push can cause a greater change in the cart's motion.
A ball rolls straight ahead. A hand taps it from the side. What might happen?|it turns onto a different path|it becomes a different material|it changes colour|A sideways force can change the direction of motion.
The two dough pictures show a change after pressing. Which change is visible?|it is wider and flatter|it is taller and narrower|it is a different colour|The after picture shows the dough spread out and flattened.
A child pulls gently on a stretchy cord. What may change?|its length|its colour|what it is made of|Pulling a stretchy cord can make it longer.
Use the travel record. Which trial shows the car going farther?|Trial A|Trial B|both equally far|Trial A's endpoint is farther from the same starting line.
A hand pushes gently against a rolling toy's direction of travel. What can that do?|slow it down|always make it go faster|change its colour|A force against movement can slow the toy.
A toy train is still. A child pushes it and it begins to move. What does this show?|a push can start motion|only a pull can start motion|forces only change shape|The observed push changed the train from still to moving.
A soft ball is squashed but stays on the table. Which statement fits?|a force changed its shape|no force was used|every force must move an object across the room|The force changed shape without moving the ball across the table.
The direction cards show two pulls. Which pull draws the box towards the star?|Pull A|Pull B|both pulls|Pull A points towards the star; Pull B points away.
A toy is pulled against a fixed barrier and stays still. What can we say?|a pull was applied, but the barrier stopped movement|there was no pull because nothing moved|the toy must have changed colour|The barrier can prevent motion even while a pull is applied.
A child presses a sponge and a stone with similar gentle pushes. What should they expect?|the sponge changes shape more easily|the stone changes shape more easily|both change shape by exactly the same amount|Different materials respond differently; a soft sponge squashes more easily than a stone.
