codes,video_url,title,creator,min_year,max_year,focus,watch_prompt,after_watching,source_url,review_note
AC9MFN01,https://www.youtube.com/watch?v=Aq4UAss33qA,Count & Move,Super Simple Songs,0,0,Saying the number sequence from 1 to 20 while moving. Use the topic lesson for zero and ordering numerals.,Which number comes just after 19?,Put number cards 1 to 20 in order. Add a zero card before 1.,https://supersimple.com/song/count-and-move/,Official creator page and its YouTube iframe ID checked. Counting to 20 is explicit. Playback needs final review.
AC9MFN01,https://www.youtube.com/watch?v=OinudV2LWlo,Count to 10,Khan Academy Kids,0,0,Counting a small collection carefully before extending to 20.,How can you count each toy just once?,Count ten blocks. Move them into another arrangement and check that there are still ten.,https://blog.khanacademy.org/khan-kids-learn-to-count-with-khan-academy-kids/,Official Khan Kids article and iframe ID verified by root. Supports counting to ten only; the first video extends the sequence to twenty.
AC9MFN02,https://www.youtube.com/watch?v=PSlA-u_ABmU,Subitize Up To 5 (soo-bi-tize) | Math Song for Kids | Jack Hartmann,Jack Hartmann Kids Music Channel,0,0,Recognising small groups up to five without counting one by one.,Can you say how many dots you see before they disappear?,Ask an adult to show a card with one to five dots briefly. Say the number and describe what you noticed.,https://www.youtube.com/watch?v=PSlA-u_ABmU,Original YouTube title and creator confirmed by public oEmbed. Australian term is subitising. No full audiovisual playback claim.
AC9MFN03,https://www.youtube.com/watch?v=mKSNQuQrsm0,Counting | Mini Math Movies,Scratch Garden,0,0,Counting objects and noticing that rearranging them does not change how many there are. The examples start within ten.,Does moving the objects change how many there are?,Make a group of six blocks and a group of eight. Count or match them to explain which has more.,https://scratchgarden.com/videos/counting/,"Official creator page, embedded YouTube ID and description checked; lyrics checked when supplied. Full audiovisual playback needs final review."
AC9MFN04,https://www.youtube.com/watch?v=A-ykhY_IoaU,Making 5 | Early Math,Khan Academy,0,0,Finding different pairs of parts that make a whole of five.,What can you put with three to make five?,Use five counters. Split them into two parts in three different ways and explain each whole.,https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-make-10/v/making-5,"Official Kindergarten lesson title, 4:06 duration and original YouTube result checked. Supports five before the lesson extends to ten. Playback needs final review."
AC9MFN05,https://www.youtube.com/watch?v=pZw9veQ76fo,Five Little Ducks,Super Simple Songs,0,0,Using a familiar story to notice one less and count what remains.,How many little ducks remain when one does not come back?,"Use five toy ducks or counters. Move one away, count those left, and tell your own take-away story.",https://supersimple.com/song/five-little-ducks/,"Official creator page, lyrics and original YouTube result checked. Story context supports concrete subtraction; it does not cover every addition strategy."
AC9MFN06,https://www.youtube.com/watch?v=DgeZnmEpX40,Grouping and Sharing | Numbers | Y1 Maths | FuseSchool Kids,FuseSchool Kids,0,0,Making equal groups by sharing objects.,How can you check that each group has the same number?,"Share six counters between two toy animals, one counter at a time. Count each group to check it is fair.",https://www.youtube.com/watch?v=DgeZnmEpX40,"Original creator result labels UK Year 1 and kindergarten, consistent with Foundation ages five to six. Description covers grouping and sharing. Playback and exact example range need final review."
AC9MFA01,https://www.youtube.com/watch?v=MBjjxSx45-Q,Patterns Practice,Scratch Garden,0,0,"Spotting and continuing a repeating pattern in colours, shapes and sounds.",Which part keeps repeating?,"Make a clap-tap-clap-tap pattern, then invent a repeating pattern with two kinds of objects.",https://scratchgarden.com/videos/patterns-practice/,"Official creator page, embedded YouTube ID and description checked; lyrics checked when supplied. Full audiovisual playback needs final review."
AC9MFM01,https://www.youtube.com/watch?v=o-D-8B_5ibU,Comparing lengths | Early Math,Khan Academy,0,0,"Comparing which object is longer or shorter. This video supports length; the lesson also explores mass, capacity and duration.",Why should the objects start at the same place when you compare them?,Put two pencils side by side with their ends lined up. Explain which is longer.,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-compare-estimate-length/v/comparing-lengths,Official Early Math lesson and matching YouTube result checked; official duration 3:07. Direct length comparison fits Foundation; no formal units are required in the follow-up.
AC9MFM02,https://www.youtube.com/watch?v=3XzNRBRNU7E,Days of the Week,Scratch Garden,0,0,Remembering the sequence of the seven days. Use the lesson to connect days and times to your own routines.,Which day comes after Tuesday?,Put the seven days in order and draw one familiar activity beside a day.,https://scratchgarden.com/videos/days-of-the-week/,"Official creator page, embedded YouTube ID and description checked; lyrics checked when supplied. Full audiovisual playback needs final review."
AC9MFSP01,https://www.youtube.com/watch?v=coZfbTIzS5I,Simple Shapes,Scratch Garden,0,0,Recognising familiar flat shapes and looking for them in objects.,What do you notice about a triangle?,"Find a circle, rectangle and triangle around you. Explain how you recognised each one.",https://scratchgarden.com/videos/simple-shapes/,Official creator page and iframe ID checked. It uses diamond as an everyday shape name; this is not a separate formal shape classification. Playback needs final review.
AC9MFSP02,https://www.youtube.com/watch?v=HnlJzWhsNnw,Location & Directions,Scratch Garden,0,0,Using position words to describe where something is and how it moves.,Which word tells you where the object is?,"Put a toy under, beside and behind a box. Give a partner one instruction using a position word.",https://scratchgarden.com/videos/location-directions/,"Official creator page, embedded YouTube ID and description checked; lyrics checked when supplied. Full audiovisual playback needs final review."
AC9MFST01,https://www.youtube.com/watch?v=Zg5AAxgf9qg,Sort the Same Group Two Different Ways | Preschool and Kindergarten | Kids Academy,Kids Academy,0,0,"Sorting a collection by a visible feature, ready to count and compare the groups.",Which visible feature could help you sort the objects?,"Ask which colour appears most in six coloured blocks. Sort the blocks into rows, count each row and answer the question.",https://www.youtube.com/watch?v=Zg5AAxgf9qg,Root verified original Kids Academy identity and embeddable player with YouTube oEmbed. Public description supports sorting visible features. No leaf-specific scene is claimed; full playback is pending.
AC9SFU01,https://www.youtube.com/watch?v=Zg5AAxgf9qg,Sort the Same Group Two Different Ways | Preschool and Kindergarten | Kids Academy,Kids Academy,0,0,Grouping things by a visible feature. Apply this idea to plant and animal features in the topic lesson.,Which visible feature could help you sort the objects?,Look at photographs of four leaves. Sort them by shape or colour and explain your rule.,https://www.youtube.com/watch?v=Zg5AAxgf9qg,Root verified original Kids Academy identity and embeddable player with YouTube oEmbed. Public description supports sorting visible features. No leaf-specific scene is claimed; full playback is pending.
