skill_code,skill_title,bank,question_id,question,options,correct_answer,explanation,teacher_script,icon_note
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P01,Luca has 6 apples. He gets 3 more apples. How many apples does he have now?,"{""A"": ""9"", ""B"": ""8"", ""C"": ""3""}",A,6 + 3 = 9.,Show 6 apples. Add 3 more.,apple counters
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P02,There are 10 birds in a tree. 4 birds fly away. How many are left?,"{""A"": ""14"", ""B"": ""6"", ""C"": ""4""}",B,10 − 4 = 6.,Start with 10. Take away 4.,birds flying away
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P03,7 children are playing. 5 more children join them. Which number sentence matches the story?,"{""A"": ""7 − 5 = 2"", ""B"": ""7 + 5 = 11"", ""C"": ""7 + 5 = 12""}",C,"The children join, so we add: 7 + 5 = 12.",Which equation shows children joining?,two groups joining
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P04,There are 9 blocks. 2 blocks are taken away. Which shows what happens?,"{""A"": ""9 − 2 = 7"", ""B"": ""9 + 2 = 11"", ""C"": ""7 − 2 = 5""}",A,Taking away 2 from 9 leaves 7.,"Make 9 blocks, then remove 2.",blocks with 2 crossed out
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P05,There are 8 people on a bus. 4 more people get on. How many people are on the bus now?,"{""A"": ""4"", ""B"": ""12"", ""C"": ""14""}",B,8 + 4 = 12.,People get on. Do we add or take away?,bus icon
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P06,A pencil costs $5. An eraser costs $3. How much do they cost altogether?,"{""A"": ""$2"", ""B"": ""$7"", ""C"": ""$8""}",C,$5 + $3 = $8.,Put the two prices together.,$5 and $3 price tags
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P07,There are 13 balloons. 5 balloons pop. What should you do to find how many are left?,"{""A"": ""Subtract 5 from 13"", ""B"": ""Add 5 to 13"", ""C"": ""Add 13 to 13""}",A,"Balloons are taken away, so we subtract.",Did the group get bigger or smaller?,popped balloon
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P08,A box has 6 red crayons and 6 blue crayons. How many crayons are there altogether?,"{""A"": ""6"", ""B"": ""12"", ""C"": ""18""}",B,6 + 6 = 12.,Join the two groups of crayons.,red and blue crayon groups
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P09,Noah has $10. He buys a toy for $4. How much money does he have left?,"{""A"": ""$14"", ""B"": ""$4"", ""C"": ""$6""}",C,$10 − $4 = $6.,Start with $10. Spend $4.,play-money notes or coins
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P10,Ava has 7 pencils. Her teacher gives her 2 more. How many pencils does Ava have now?,"{""A"": ""9"", ""B"": ""5"", ""C"": ""10""}",A,7 + 2 = 9.,Add 2 pencils to the group of 7.,pencil counters
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P11,There are 11 ducks. 3 ducks swim away. Which model matches the story?,"{""A"": ""Show 11 counters, then add 3"", ""B"": ""Show 11 counters, then take away 3"", ""C"": ""Show 3 counters, then take away 11""}",B,"The ducks leave, so 3 are taken away from 11.",Which counter model shows ducks leaving?,counters with 3 crossed out
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P12,Mia has $6. Her grandpa gives her $5 more. How much money does Mia have now?,"{""A"": ""$1"", ""B"": ""$10"", ""C"": ""$11""}",C,$6 + $5 = $11.,She gets more money. Join the amounts.,money icon
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P13,There are 15 children at the park. 4 children go home. How many children stay at the park?,"{""A"": ""11"", ""B"": ""19"", ""C"": ""9""}",A,15 − 4 = 11.,Start at 15 and count back 4.,simple number line
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P14,Sam finds 5 shells. Then he finds 8 more. Which number sentence solves the problem?,"{""A"": ""8 − 5 = 3"", ""B"": ""5 + 8 = 13"", ""C"": ""13 + 5 = 18""}",B,"Sam finds more shells, so we add 5 and 8.",Which equation joins both groups?,two shell groups
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P15,Zoe has $12. She buys a book for $7. How much money is left?,"{""A"": ""$19"", ""B"": ""$6"", ""C"": ""$5""}",C,$12 − $7 = $5.,Take the book price away from $12.,$12 with $7 crossed out
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P16,There are 9 toy cars. Ben gets 6 more toy cars. How many toy cars are there now?,"{""A"": ""15"", ""B"": ""3"", ""C"": ""14""}",A,9 + 6 = 15.,Combine 9 cars and 6 cars.,two groups of toy cars
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P17,Which story needs subtraction?,"{""A"": ""Eli has 4 marbles and gets 3 more."", ""B"": ""Eli has 9 marbles and gives away 3."", ""C"": ""Eli puts 5 marbles with 2 more marbles.""}",B,Giving marbles away makes the group smaller.,Which story takes something away?,minus sign
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P18,There are 14 crayons. 8 are red. The rest are blue. How many crayons are blue?,"{""A"": ""8"", ""B"": ""7"", ""C"": ""6""}",C,14 − 8 = 6.,We know the whole and one part. Find the missing part.,part-part-whole frame
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P19,"At a class shop, a ball costs $4 and a puzzle costs $5. How much do they cost altogether?","{""A"": ""$9"", ""B"": ""$1"", ""C"": ""$10""}",A,$4 + $5 = $9.,Add the two price tags.,shop price tags
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P20,Ella starts at 7 on a number line and jumps forward 4 spaces. Where does she land?,"{""A"": ""10"", ""B"": ""11"", ""C"": ""3""}",B,7 + 4 = 11.,Start at 7 and make 4 forward jumps.,number line
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P21,Kai has 16 stickers. He gives 5 stickers to a friend. How many stickers does Kai have left?,"{""A"": ""10"", ""B"": ""12"", ""C"": ""11""}",C,16 − 5 = 11.,Giving away means take away.,sticker sheet
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P22,Ruby has 8 beads. She needs 13 beads altogether. How many more beads does she need?,"{""A"": ""5"", ""B"": ""6"", ""C"": ""21""}",A,"8 + 5 = 13, so Ruby needs 5 more.",What must join 8 to make 13?,bead counters
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P23,Leo has $15. He spends $6. How much money does he have left?,"{""A"": ""$8"", ""B"": ""$9"", ""C"": ""$11""}",B,$15 − $6 = $9.,Count back 6 from 15.,money and number line
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,practice,P24,There are 10 frogs near a pond. 3 more frogs jump over. Which diagram matches the story?,"{""A"": ""10 dots with 3 crossed out"", ""B"": ""3 dots with 10 crossed out"", ""C"": ""10 dots joined by 3 more dots""}",C,"More frogs arrive, so the diagram must show 10 and 3 being joined.",Look for the model that makes the group bigger.,dot diagram with joining arrow
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T01,There are 8 books on a shelf. 4 more books are returned to the shelf. How many books are there now?,"{""A"": ""4"", ""B"": ""12"", ""C"": ""13""}",B,8 + 4 = 12.,Books are returned to the shelf. Does the number grow or shrink?,bookshelf
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T02,Lily has $7. Her aunt gives her $8 more. How much money does Lily have altogether?,"{""A"": ""$14"", ""B"": ""$1"", ""C"": ""$15""}",C,$7 + $8 = $15.,Join the two amounts of money.,two money groups
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T03,There are 17 oranges in a basket. 6 oranges are used. How many oranges are left?,"{""A"": ""11"", ""B"": ""12"", ""C"": ""9""}",A,17 − 6 = 11.,Take 6 away from 17.,fruit basket
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T04,Finn has 9 cards. He gets some more cards. Now he has 14. How many cards did he get?,"{""A"": ""4"", ""B"": ""5"", ""C"": ""6""}",B,9 + 5 = 14.,What joins 9 to make 14?,part-part-whole frame
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T05,A toy costs $6 and a book costs $9. How much do they cost altogether?,"{""A"": ""$15"", ""B"": ""$3"", ""C"": ""$14""}",A,$6 + $9 = $15.,Add both prices.,two price tags
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T06,There are 12 children in a room. 5 children leave. Which number sentence models the story?,"{""A"": ""12 + 5 = 17"", ""B"": ""12 − 7 = 5"", ""C"": ""12 − 5 = 7""}",C,"Five children leave, so subtract 5 from 12.",Choose the equation that shows children leaving.,doorway arrow out
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T07,A box has 7 green balls and 8 yellow balls. Which model finds the total number of balls?,"{""A"": ""Start with 8 and take away 7"", ""B"": ""Join a group of 7 and a group of 8"", ""C"": ""Take 7 away from 7""}",B,Both groups are being combined to find the total.,Which model puts both groups together?,two ball groups with joining arrow
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T08,Aria has $18. She buys a game for $9. How much money is left?,"{""A"": ""$10"", ""B"": ""$27"", ""C"": ""$9""}",C,$18 − $9 = $9.,Spending money makes the amount smaller.,shop counter
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T09,There are 13 fish in a tank. Some are moved to another tank. 8 fish stay. How many fish were moved?,"{""A"": ""5"", ""B"": ""6"", ""C"": ""21""}",A,13 − 8 = 5.,The whole is 13. Eight stay. Find the missing part.,two fish tanks
AC9M1N05,Mathematical modelling of additive situations including simple money transactions,test,T10,A class has 6 paintbrushes. The teacher brings 7 more. Which number sentence should be used?,"{""A"": ""7 − 6 = 1"", ""B"": ""6 + 7 = 13"", ""C"": ""13 − 7 = 5""}",B,"More paintbrushes arrive, so the two groups are added.",What operation matches ‘brings more’?,paintbrush groups
