"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation"
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-001","A sponge soaks up a spill, but a plastic lid does not. Which question explores this difference?","A. Which object has the nicest name? | B. Who likes using the sponge? | C. Does the material affect how much water it absorbs?","C. Does the material affect how much water it absorbs?","The question connects the observed difference in absorption with the materials."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-002","On three clear days, a pole's shadow was shorter near midday than early in the morning. What is a sensible prediction for another clear day?","A. It will probably be shorter near midday again. | B. It must stay one length all day. | C. It will certainly be longest near midday.","A. It will probably be shorter near midday again.","The repeated shadow observations support a prediction about a similar day."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-003","A class hears a higher note when a ruler has a shorter overhang. Which question follows this observation?","A. Which ruler colour is most popular? | B. How does the overhanging length affect the note? | C. Who has the neatest handwriting?","B. How does the overhanging length affect the note?","This question explores the relationship between vibrating length and the sound heard."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-004","A rubber strip returned to its original length after three gentle stretches. What might happen after another gentle stretch?","A. It must remain twice as long. | B. It may return to its original length again. | C. It will certainly break into pieces.","B. It may return to its original length again.","Previous results give a reason for expecting the strip to return again."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-005","Which sentence predicts a result that has not happened yet?","A. The paper tore during yesterday's test. | B. The paper has a rough edge. | C. The paper may tear if we pull it harder.","C. The paper may tear if we pull it harder.","A prediction says what may happen; the other statements describe observations."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-006","A child asks, 'Is this clay good?' Which question makes the idea clearer to investigate?","A. Is this clay the best clay ever? | B. Does everyone like this clay? | C. Can this clay be bent into a ring without breaking?","C. Can this clay be bent into a ring without breaking?","The clearer question names an action and an observable result."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-007","A child predicts the drum will be louder after a firmer tap. Which experience best supports this?","A. The drum is the child's favourite instrument. | B. The drum has a bright red side. | C. Firmer taps made this drum louder before.","C. Firmer taps made this drum louder before.","Relevant previous sound observations support the prediction."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-008","Two similar wet cloths dried at different speeds, one spread out and one folded. Which question explores what was noticed?","A. Which cloth looks prettier when folded? | B. Does folding a wet cloth affect how quickly it dries? | C. Which day of the week has the best name?","B. Does folding a wet cloth affect how quickly it dries?","The question connects the cloth's arrangement with its drying time."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-009","A child has never tested this new foam. Which prediction gives a reason using related experience?","A. It may squash because a similar soft foam squashed before. | B. It will squash because I want it to. | C. It cannot squash because it is new.","A. It may squash because a similar soft foam squashed before.","A prediction can draw on relevant experience with a similar material."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-010","A sky diary records the Moon in different places above one roof. Which question could guide more observations?","A. Does the Moon's position above the roof change during an evening? | B. Is the roof a nicer shape than the Moon? | C. Who drew the best-looking Moon?","A. Does the Moon's position above the roof change during an evening?","The question explores the observed change in apparent position over time."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-011","Three paper strips stretched very little before tearing. Which prediction fits another strip of the same paper?","A. It will certainly stretch like a rubber band. | B. It may tear before stretching very far. | C. It must stay unbroken however hard it is pulled.","B. It may tear before stretching very far.","The prediction uses the repeated response of the same kind of paper."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-012","A teacher says a scientific prediction is an idea to check. Which sentence fits?","A. The shaded puddle may last longer because it did yesterday. | B. The shaded puddle must last forever because I chose it. | C. The shaded puddle is my favourite puddle.","A. The shaded puddle may last longer because it did yesterday.","A prediction connects an expected outcome to evidence and can be checked."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-013","A child notices that a bell gets quieter when touched. Which question explores the relationship?","A. Which bell is the prettiest? | B. Does touching the ringing bell change how long it sounds? | C. Who can spell the word bell?","B. Does touching the ringing bell change how long it sounds?","The question links the action of touching with the duration of the sound."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-014","A class wants to learn about changes to shadows. Which question would need observations at more than one time?","A. How does this post's shadow change through the day? | B. What colour is the post now? | C. Is the post made of wood now?","A. How does this post's shadow change through the day?","A question about change over time needs repeated observations."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-015","A toy car rolled farther on smooth card than on a towel in several trials. Which prediction uses that experience?","A. It will probably roll farther on the card in a similar trial. | B. It will always travel exactly ten blocks on any surface. | C. It will probably stop at the same place on every surface.","A. It will probably roll farther on the card in a similar trial.","The repeated comparison supports a prediction for the same surfaces and similar conditions."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-016","A child asks, 'Will all materials twist?' Which smaller question could the class investigate first?","A. Can every material anywhere be twisted? | B. Can these cloth and card strips be twisted gently? | C. Will every object ever made twist?","B. Can these cloth and card strips be twisted gently?","A question about two available samples is specific enough for a simple class investigation."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-017","A clay rope broke when bent into a tight loop but stayed whole in a wider loop. Which question explores this observation?","A. Which loop is the artist's favourite? | B. What colour is the table under the clay? | C. Does the size of the loop affect whether this clay rope breaks?","C. Does the size of the loop affect whether this clay rope breaks?","The question links loop size with the observed breaking."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-018","In two trials, a short string made a higher note than a longer string of the same kind and tightness. What can the class reasonably predict?","A. The short string may make the higher note again. | B. Every short object must make a high sound. | C. The long string must be louder.","A. The short string may make the higher note again.","The evidence supports a pitch prediction for similar strings, not all objects or loudness."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-019","A child predicts a paper boat will float because the last one did. Which detail makes that experience most useful?","A. Both boats were made on a Tuesday. | B. The new boat uses similar paper and the same design. | C. The child gave both boats a name.","B. The new boat uses similar paper and the same design.","Relevant similarities make the earlier floating result useful for the prediction."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-020","A class sees stars in different positions in two night photos. Which question focuses on a pattern?","A. Which photograph would look best on a wall? | B. Who owns the camera? | C. Do their positions follow a similar change on other nights?","C. Do their positions follow a similar change on other nights?","The question asks whether the observed change repeats."
