"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","visual_description","visual_asset","visual_svg","response_type","acceptance_note"
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-001","Read the clock. What time is shown?","A. 12:20 | B. 4:00 | C. 4:30","4:00","The short hand points to 4 and the long hand to 12, so it is four o’clock. Hint: Use the information in the question and check each step.","Analogue clock: short hand at the position for 4:00; long hand at 12.","/assets/assessment-visuals/year2/math/ac9m2m04.svg?v=20260906-year2-pending-release#ac9m2m04-p-001","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""320"" cy=""150"" r=""128"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><text x=""373.0"" y=""65.20130719884949"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">1</text><text x=""411.7986928011505"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">2</text><text x=""426.0"" y=""157.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">3</text><text x=""411.79869280115054"" y=""209.99999999999997"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">4</text><text x=""373.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">5</text><text x=""320.0"" y=""263.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">6</text><text x=""267.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">7</text><text x=""228.20130719884952"" y=""210.00000000000006"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">8</text><text x=""214.0"" y=""157.00000000000003"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">9</text><text x=""228.20130719884952"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">10</text><text x=""266.99999999999994"" y=""65.20130719884953"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">11</text><text x=""320.0"" y=""51.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">12</text><path d=""M320 150L378.88972745734185 184.0"" fill=""none"" stroke=""#17324d"" stroke-width=""7""/><path d=""M320 150L320.0 55.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><circle cx=""320"" cy=""150"" r=""6"" fill=""#17324d""/></svg>","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-002","Which hand shows the minutes on this clock?","A. The longer blue hand | B. The shorter dark hand | C. Both hands show only hours","The longer blue hand","The longer hand shows minutes; the shorter hand shows the hour. Hint: Use the information in the question and check each step.","Analogue clock: short hand at the position for 8:15; long hand at 3.","/assets/assessment-visuals/year2/math/ac9m2m04.svg?v=20260906-year2-pending-release#ac9m2m04-p-002","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""320"" cy=""150"" r=""128"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><text x=""373.0"" y=""65.20130719884949"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">1</text><text x=""411.7986928011505"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">2</text><text x=""426.0"" y=""157.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">3</text><text x=""411.79869280115054"" y=""209.99999999999997"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">4</text><text x=""373.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">5</text><text x=""320.0"" y=""263.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">6</text><text x=""267.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">7</text><text x=""228.20130719884952"" y=""210.00000000000006"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">8</text><text x=""214.0"" y=""157.00000000000003"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">9</text><text x=""228.20130719884952"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">10</text><text x=""266.99999999999994"" y=""65.20130719884953"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">11</text><text x=""320.0"" y=""51.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">12</text><path d=""M320 150L257.1761917892325 176.02247340082607"" fill=""none"" stroke=""#17324d"" stroke-width=""7""/><path d=""M320 150L415.0 150.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><circle cx=""320"" cy=""150"" r=""6"" fill=""#17324d""/></svg>","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-003","Which time matches this clock?","A. Half past 3 | B. 2 o’clock | C. Half past 2","Half past 2","The short hand is halfway from 2 to 3 and the long hand points to 6. Hint: Use the information in the question and check each step.","Analogue clock: short hand at the position for 2:30; long hand at 6.","/assets/assessment-visuals/year2/math/ac9m2m04.svg?v=20260906-year2-pending-release#ac9m2m04-p-003","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""320"" cy=""150"" r=""128"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><text x=""373.0"" y=""65.20130719884949"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">1</text><text x=""411.7986928011505"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">2</text><text x=""426.0"" y=""157.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">3</text><text x=""411.79869280115054"" y=""209.99999999999997"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">4</text><text x=""373.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">5</text><text x=""320.0"" y=""263.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">6</text><text x=""267.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">7</text><text x=""228.20130719884952"" y=""210.00000000000006"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">8</text><text x=""214.0"" y=""157.00000000000003"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">9</text><text x=""228.20130719884952"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">10</text><text x=""266.99999999999994"" y=""65.20130719884953"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">11</text><text x=""320.0"" y=""51.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">12</text><path d=""M320 150L385.68295618765666 132.4003049330286"" fill=""none"" stroke=""#17324d"" stroke-width=""7""/><path d=""M320 150L320.0 245.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><circle cx=""320"" cy=""150"" r=""6"" fill=""#17324d""/></svg>","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-004","Read the clock in words.","A. Quarter to 7 | B. Half past 7 | C. Quarter past 7","Quarter past 7","The long hand at 3 shows a quarter-hour after 7. Hint: Use the information in the question and check each step.","Analogue clock: short hand at the position for 7:15; long hand at 3.","/assets/assessment-visuals/year2/math/ac9m2m04.svg?v=20260906-year2-pending-release#ac9m2m04-p-004","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""320"" cy=""150"" r=""128"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><text x=""373.0"" y=""65.20130719884949"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">1</text><text x=""411.7986928011505"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">2</text><text x=""426.0"" y=""157.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">3</text><text x=""411.79869280115054"" y=""209.99999999999997"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">4</text><text x=""373.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">5</text><text x=""320.0"" y=""263.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">6</text><text x=""267.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">7</text><text x=""228.20130719884952"" y=""210.00000000000006"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">8</text><text x=""214.0"" y=""157.00000000000003"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">9</text><text x=""228.20130719884952"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">10</text><text x=""266.99999999999994"" y=""65.20130719884953"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">11</text><text x=""320.0"" y=""51.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">12</text><path d=""M320 150L278.604222827407 203.948027139804"" fill=""none"" stroke=""#17324d"" stroke-width=""7""/><path d=""M320 150L415.0 150.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><circle cx=""320"" cy=""150"" r=""6"" fill=""#17324d""/></svg>","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-005","Which time is shown on this clock?","A. Quarter past 5 | B. Quarter to 6 | C. Quarter to 5","Quarter to 6","The long hand at 9 leaves a quarter-hour until 6; the short hand is approaching 6. Hint: Use the information in the question and check each step.","Analogue clock: short hand at the position for 5:45; long hand at 9.","/assets/assessment-visuals/year2/math/ac9m2m04.svg?v=20260906-year2-pending-release#ac9m2m04-p-005","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""320"" cy=""150"" r=""128"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><text x=""373.0"" y=""65.20130719884949"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">1</text><text x=""411.7986928011505"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">2</text><text x=""426.0"" y=""157.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">3</text><text x=""411.79869280115054"" y=""209.99999999999997"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">4</text><text x=""373.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">5</text><text x=""320.0"" y=""263.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">6</text><text x=""267.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">7</text><text x=""228.20130719884952"" y=""210.00000000000006"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">8</text><text x=""214.0"" y=""157.00000000000003"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">9</text><text x=""228.20130719884952"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">10</text><text x=""266.99999999999994"" y=""65.20130719884953"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">11</text><text x=""320.0"" y=""51.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">12</text><path d=""M320 150L328.8757810709635 217.4182505734191"" fill=""none"" stroke=""#17324d"" stroke-width=""7""/><path d=""M320 150L225.0 150.00000000000003"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><circle cx=""320"" cy=""150"" r=""6"" fill=""#17324d""/></svg>","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-006","Choose the digital time for this clock.","A. 9:30 | B. 9:06 | C. 10:30","9:30","The long hand at 6 means 30 minutes, not 6 minutes. The hour already passed is 9. Hint: Use the information in the question and check each step.","Analogue clock: short hand at the position for 9:30; long hand at 6.","/assets/assessment-visuals/year2/math/ac9m2m04.svg?v=20260906-year2-pending-release#ac9m2m04-p-006","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""320"" cy=""150"" r=""128"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><text x=""373.0"" y=""65.20130719884949"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">1</text><text x=""411.7986928011505"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">2</text><text x=""426.0"" y=""157.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">3</text><text x=""411.79869280115054"" y=""209.99999999999997"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">4</text><text x=""373.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">5</text><text x=""320.0"" y=""263.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">6</text><text x=""267.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">7</text><text x=""228.20130719884952"" y=""210.00000000000006"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">8</text><text x=""214.0"" y=""157.00000000000003"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">9</text><text x=""228.20130719884952"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">10</text><text x=""266.99999999999994"" y=""65.20130719884953"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">11</text><text x=""320.0"" y=""51.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">12</text><path d=""M320 150L254.31704381234334 132.40030493302862"" fill=""none"" stroke=""#17324d"" stroke-width=""7""/><path d=""M320 150L320.0 245.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><circle cx=""320"" cy=""150"" r=""6"" fill=""#17324d""/></svg>","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-007","What digital time matches the hands?","A. 11:03 | B. 11:15 | C. 3:55","11:15","The long hand at 3 means 15 minutes; the short hand is just past 11. Hint: Use the information in the question and check each step.","Analogue clock: short hand at the position for 11:15; long hand at 3.","/assets/assessment-visuals/year2/math/ac9m2m04.svg?v=20260906-year2-pending-release#ac9m2m04-p-007","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""320"" cy=""150"" r=""128"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><text x=""373.0"" y=""65.20130719884949"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">1</text><text x=""411.7986928011505"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">2</text><text x=""426.0"" y=""157.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">3</text><text x=""411.79869280115054"" y=""209.99999999999997"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">4</text><text x=""373.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">5</text><text x=""320.0"" y=""263.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">6</text><text x=""267.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">7</text><text x=""228.20130719884952"" y=""210.00000000000006"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">8</text><text x=""214.0"" y=""157.00000000000003"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">9</text><text x=""228.20130719884952"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">10</text><text x=""266.99999999999994"" y=""65.20130719884953"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">11</text><text x=""320.0"" y=""51.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">12</text><path d=""M320 150L293.9775265991739 87.17619178923249"" fill=""none"" stroke=""#17324d"" stroke-width=""7""/><path d=""M320 150L415.0 150.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><circle cx=""320"" cy=""150"" r=""6"" fill=""#17324d""/></svg>","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-008","Both hands point to 12. What is the time?","A. Half past 12 | B. Quarter to 12 | C. 12 o’clock","12 o’clock","At twelve o’clock both hands point to 12. Hint: Use the information in the question and check each step.","Analogue clock: short hand at the position for 12:00; long hand at 12.","/assets/assessment-visuals/year2/math/ac9m2m04.svg?v=20260906-year2-pending-release#ac9m2m04-p-008","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><circle cx=""320"" cy=""150"" r=""128"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><text x=""373.0"" y=""65.20130719884949"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">1</text><text x=""411.7986928011505"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">2</text><text x=""426.0"" y=""157.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">3</text><text x=""411.79869280115054"" y=""209.99999999999997"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">4</text><text x=""373.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">5</text><text x=""320.0"" y=""263.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">6</text><text x=""267.0"" y=""248.7986928011505"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">7</text><text x=""228.20130719884952"" y=""210.00000000000006"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">8</text><text x=""214.0"" y=""157.00000000000003"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">9</text><text x=""228.20130719884952"" y=""103.99999999999999"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">10</text><text x=""266.99999999999994"" y=""65.20130719884953"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">11</text><text x=""320.0"" y=""51.0"" font-family=""Arial,sans-serif"" font-size=""21"" fill=""#17324d"" text-anchor=""middle"">12</text><path d=""M320 150L320.0 82.0"" fill=""none"" stroke=""#17324d"" stroke-width=""7""/><path d=""M320 150L320.0 55.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><circle cx=""320"" cy=""150"" r=""6"" fill=""#17324d""/></svg>","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-009","At half past 8, where should the short hand be?","A. Halfway between 8 and 9 | B. Exactly on 8 | C. Exactly on 9","Halfway between 8 and 9","The hour hand moves steadily and is halfway to the next hour at half past. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M04","Reading analogue clocks","practice","AC9M2M04-P-010","At quarter past 10, which number does the long hand point to?","A. 3 | B. 10 | C. 6","3","A quarter-hour is 15 minutes, shown by the long hand at 3. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
