# Practice
One puddle is in sunlight and one is in shade. Which question explores drying?|Which puddle will dry first?|Which puddle is wider now?|How many puddles are there?|The first question explores a possible difference in drying, rather than just the current size or count.
A sponge and cloth will be tested with water. Which is a prediction?|The sponge may hold more water.|The sponge is dry now.|The cloth is beside the bowl.|A prediction describes an expected result before the test.
A toy car rolled farther after a stronger push yesterday. What might happen with a stronger push today?|It may roll farther again.|It must roll exactly the same distance.|It cannot move after a stronger push.|Relevant past experience supports the prediction, without fixing an exact distance.
A plant near a window leaned towards it. Which question follows from that observation?|Will another plant there lean towards the window?|How many windows are in the room?|What colour is the window frame?|The first question explores whether the observed growth direction happens again.
A child used a sponge to soak up a spill yesterday. Which reason supports predicting it will soak up water today?|It soaked up water before.|It is beside a dry bowl.|It has a square shape.|The earlier water-soaking experience is directly relevant to the prediction.
Two balls will be rolled down a ramp. Which question focuses on their travel?|Which ball will roll farther?|Which ball is heavier before rolling?|Which ball has the brighter colour?|The question asks about the motion the children will observe.
Before testing a paper bridge, a child says, 'It may hold two counters.' What is this?|a prediction|a result already measured|a description of its colour|The child is saying what they expect before testing.
A child saw ants beside a tree and on a path. Which question compares those places?|Where will we see more ants?|How tall is the tree?|How long is the path?|The question compares ant numbers in the two observed places.
Read the car record. Which prediction fits another similar trial?|The stronger push may send the car farther.|The gentle push may send the car farther.|Both pushes may send the car equally far.|The prediction follows the pattern in the recorded trials.
One wet sock dried faster outside than inside yesterday. Which question could explore that relationship again?|Will the outside sock dry first again?|Which sock has more stripes?|How many pegs are on the line?|The question follows the observed relationship between place and drying.
A child asks, 'Which towel holds more water?' Which prediction answers that question?|Towel A may hold more than Towel B.|Towel A may be longer than Towel B.|Towel A may look darker than Towel B.|Only the first prediction focuses on how much water the towels hold.
An ice cube melted sooner in a warm place last time. Which reason supports a new prediction about melting?|The earlier ice melted sooner in warmth.|The new tray is a different colour.|The child likes the warmer place.|The past melting observation supports the prediction; preference does not.
A class sees a flag moving on windy days but hanging still on calm days. Which question explores the pattern?|Will the flag move more when the wind is stronger?|How many colours are on the flag?|How tall is the flagpole?|The question investigates the observed relationship between wind and movement.
A child says, 'This cover will be better.' Which prediction is clearer for a rain test?|This cover may keep the paper underneath drier.|This cover may be the best one.|This cover may look very nice.|The clearer prediction names an outcome that can be observed: how dry the paper stays.
Birds visited a feeder after seed was added on several mornings. What might happen after seed is added tomorrow?|Birds may visit the feeder again.|Exactly the same birds must visit.|Birds will stay there all day for certain.|The observations support possible visits, not their exact identity or duration.
Two leaves will be placed in sun and shade. Which statement belongs BEFORE the test?|The sunny leaf may dry faster.|The sunny leaf dried first today.|Both leaves stayed wet in today's test.|Only the first statement is an expectation; the others report completed results.
Read the seedling record. Which question explores the observed difference?|Will seedlings grow more in Place A again?|Which pot colour do we prefer?|How many children like seedlings?|The question follows the growth difference shown in the record.
A child predicts that cloth will absorb more water because it is softer. Which past experience gives more direct support?|The same cloth soaked up a larger spill before.|The cloth felt soft yesterday.|The cloth was folded neatly yesterday.|Experience with absorbing water is more directly relevant than softness or folding alone.
A ball bounced high on a hard floor and low on a mat. Which prediction uses both observations?|It may bounce higher on the floor than on the mat.|It may bounce higher on the mat than on the floor.|It may bounce equally high on the two surfaces.|The prediction preserves the observed comparison without claiming the mat prevents all bouncing.
A class sees more worms in damp soil than dry soil. Which question explores the pattern?|Will we find more worms in another damp patch than a dry patch?|Which patch is closest to the gate?|Which patch has the darkest bucket beside it?|The question tests whether the damp-soil pattern occurs in other patches.
Read the wind record. Which prediction is best supported?|The paper spinner may turn faster in a stronger breeze.|The spinner may turn faster in a gentle breeze.|The spinner may turn equally fast in both breezes.|The prediction follows the observed difference between the two conditions.
A child predicts that a folded paper bridge will hold more counters than a flat one. Which reason is most relevant?|A folded bridge held more counters in an earlier test.|The folded bridge took longer to make.|The child prefers folded paper.|An earlier strength test is relevant evidence about holding counters.
A child wants to explore whether leaves collect more water on a broad surface. Which question fits?|Will a broad leaf catch more drops than a narrow leaf?|Which leaf has the longest stem?|Which leaf is closest to the tap?|The first question directly explores the proposed relationship.
A child asks which toy boat will carry more counters before sinking. Which prediction stays focused?|Boat B may carry more counters than Boat A.|Boat B may look brighter than Boat A.|Boat B may have a longer name than Boat A.|The prediction names the outcome in the question: counters carried before sinking.
# Test
Two cloths will be used to wipe water. Which question compares how well they soak it up?|Which cloth will soak up more water?|Which cloth is longer now?|Which cloth has more stripes?|The question asks about absorbing water, which is the planned comparison.
Before rolling a ball, a child says, 'It may reach the tape.' What is the child giving?|a prediction|a measured result|a past observation|The child is describing an expected outcome before the roll.
A paper fan moved farther in a stronger breeze yesterday. Which prediction uses that experience?|It may move farther in a stronger breeze again.|It may move farther in a gentle breeze instead.|It may move equally far in the two breezes.|The prediction matches the earlier relationship without making an absolute rule.
Read the puddle record. Which question explores its pattern?|Will the sunny puddle dry first on another similar day?|Which puddle has the nicest shape?|How many shoes are near the puddles?|The question explores the recorded relationship between place and drying.
A child predicts that an umbrella cover will keep paper dry. Which reason is relevant?|The cover kept water out in a previous test.|The cover has a long name.|The child likes the cover's colour.|Experience with keeping water out supports the prediction.
A class asks which ramp lets a car travel farther. Which prediction matches?|The higher ramp may let it travel farther.|The higher ramp may look brighter.|The higher ramp may have more tape.|The prediction addresses travel, the outcome being explored.
A child says, 'The sponge will be good.' What needs to be made clearer for a water test?|what the sponge is expected to do with the water|the child's favourite colour|the name of the classroom|A useful prediction names the expected observable outcome.
Bees were seen at flower patch A more often than patch B on several visits. What might the class predict?|They may see more bees at A next time.|They must see exactly five bees at A.|They can never see a bee at B.|The repeated comparison supports a cautious prediction about the next visit.
A child wants to explore whether a mat changes a ball's bounce. Which question fits?|Will the ball bounce differently on the mat and floor?|What colour is the mat?|Who put the mat on the floor?|The question compares the ball's bounce under the two conditions.
Which statement predicts a result rather than reporting one?|The clay may become flatter when pressed.|The clay became flatter when pressed.|The clay is flat on the table now.|The word 'may' here describes an expected future change, while the other statements report observations.
Read the boat record. Which prediction uses the earlier tests?|Boat A may hold more counters again.|Boat B may hold more counters next time.|Both boats may hold the same number next time.|The record shows Boat A held more in both earlier comparisons.
A child predicts a shady spot will keep ice longer. Which experience supports this?|Ice lasted longer in a cooler spot before.|The shady spot is beside a tall fence.|The child likes sitting in shade.|The earlier melting experience is the relevant reason.
A class notices soil under leaf cover stays damp longer. Which question follows?|Will soil under another leaf cover stay damp longer too?|How many letters are in 'leaves'?|Which child likes gardening most?|The question explores whether the observed relationship repeats.
A child asks which paper bridge holds more blocks. Which prediction answers it?|The folded bridge may hold more blocks.|The folded bridge may be a different colour.|The folded bridge may take longer to fold.|Only the first prediction addresses the number of blocks held.
A child has one observation of a plant leaning towards light. What is a suitable prediction?|Another plant may lean towards the light too.|Every plant must lean exactly the same amount.|Plants can only grow beside this window.|One observation can suggest an expectation, but cannot prove an exact rule for all plants.
A test will compare how far two cars roll. Which question and prediction belong together?|Which goes farther? Car A may go farther.|Which goes farther? Car A has four wheels.|Which goes farther? Car A is red now.|The first pair links a question to an expected outcome. The other endings describe present features.
