skill_code,skill_title,bank,question_id,question,options,correct_answer,explanation,teacher_script_icon_note
AC9M1N06,Equal Sharing and Grouping,practice,P01,"Mia has 6 apples. She shares them equally between 2 plates. How many apples are on each plate?","A. 3 | B. 4 | C. 2",A,"6 shared into 2 equal groups is 3 in each group.","Share the apples one at a time. / two plates icon"
AC9M1N06,Equal Sharing and Grouping,practice,P02,"Tom has 8 blocks. He puts 4 blocks in each tower. How many towers can he make?","A. 4 | B. 2 | C. 3",B,"8 grouped in 4s makes 2 groups.","Count groups of 4. / block towers icon"
AC9M1N06,Equal Sharing and Grouping,practice,P03,"There are 10 socks. Each child gets 2 socks. How many children get socks?","A. 4 | B. 6 | C. 5",C,"10 grouped in 2s makes 5 groups.","Make pairs of socks. / sock pairs icon"
AC9M1N06,Equal Sharing and Grouping,practice,P04,"Lily shares 12 grapes equally between 3 bowls. How many grapes are in each bowl?","A. 4 | B. 3 | C. 6",A,"12 shared into 3 equal groups is 4 in each group.","Share one grape to each bowl until finished. / bowls icon"
AC9M1N06,Equal Sharing and Grouping,practice,P05,"A teacher has 15 pencils. She puts 5 pencils in each cup. How many cups are used?","A. 5 | B. 3 | C. 4",B,"15 grouped in 5s makes 3 groups.","Circle groups of 5 pencils. / pencil cup icon"
AC9M1N06,Equal Sharing and Grouping,practice,P06,"Ben has 9 stickers. He shares them equally between 3 friends. How many stickers does each friend get?","A. 2 | B. 4 | C. 3",C,"9 shared into 3 equal groups is 3 each.","Give one sticker to each friend, then repeat. / sticker icon"
AC9M1N06,Equal Sharing and Grouping,practice,P07,"There are 6 bananas. Each bag has 2 bananas. How many bags are there?","A. 3 | B. 2 | C. 4",A,"6 grouped in 2s makes 3 bags.","Count 2, 4, 6. / fruit bags icon"
AC9M1N06,Equal Sharing and Grouping,practice,P08,"Ava has 10 counters. She shares them equally between 5 cups. How many counters are in each cup?","A. 5 | B. 2 | C. 3",B,"10 shared into 5 equal groups is 2 in each group.","Put one counter in each cup, then another. / cups icon"
AC9M1N06,Equal Sharing and Grouping,practice,P09,"There are 12 wheels. Each toy car needs 4 wheels. How many toy cars can be made?","A. 4 | B. 2 | C. 3",C,"12 grouped in 4s makes 3 toy cars.","Make groups of 4 wheels. / toy car icon"
AC9M1N06,Equal Sharing and Grouping,practice,P10,"Noah has 14 shells. He shares them equally between 2 trays. How many shells are on each tray?","A. 7 | B. 6 | C. 8",A,"14 shared into 2 equal groups is 7 each.","Split the shells into two equal groups. / shell trays icon"
AC9M1N06,Equal Sharing and Grouping,practice,P11,"There are 20 crayons. Each box holds 10 crayons. How many boxes are filled?","A. 10 | B. 2 | C. 5",B,"20 grouped in 10s makes 2 boxes.","Count groups of 10. / crayon box icon"
AC9M1N06,Equal Sharing and Grouping,practice,P12,"Zoe has 16 beads. She shares them equally between 4 strings. How many beads go on each string?","A. 5 | B. 3 | C. 4",C,"16 shared into 4 equal groups is 4 each.","Share beads across four strings. / bead strings icon"
AC9M1N06,Equal Sharing and Grouping,practice,P13,"There are 18 buttons. Each shirt needs 3 buttons. How many shirts can have buttons?","A. 6 | B. 5 | C. 3",A,"18 grouped in 3s makes 6 groups.","Circle groups of 3 buttons. / shirt icon"
AC9M1N06,Equal Sharing and Grouping,practice,P14,"Sam has 8 biscuits. He shares them equally between 4 plates. How many biscuits are on each plate?","A. 4 | B. 2 | C. 1",B,"8 shared into 4 equal groups is 2 each.","Put biscuits onto plates equally. / plate icon"
AC9M1N06,Equal Sharing and Grouping,practice,P15,"There are 15 flowers. Each vase has 3 flowers. How many vases are there?","A. 3 | B. 4 | C. 5",C,"15 grouped in 3s makes 5 vases.","Count groups of 3 flowers. / vase icon"
AC9M1N06,Equal Sharing and Grouping,practice,P16,"Ella has 20 marbles. She shares them equally between 5 bags. How many marbles are in each bag?","A. 4 | B. 5 | C. 3",A,"20 shared into 5 equal groups is 4 each.","Share marbles into five bags. / marble bags icon"
AC9M1N06,Equal Sharing and Grouping,practice,P17,"There are 12 legs. Each stool has 3 legs. How many stools are there?","A. 3 | B. 4 | C. 6",B,"12 grouped in 3s makes 4 stools.","Make groups of 3 legs. / stool icon"
AC9M1N06,Equal Sharing and Grouping,practice,P18,"Four children share 16 cards equally. How many cards does each child get?","A. 3 | B. 5 | C. 4",C,"16 shared into 4 equal groups is 4 each.","Deal cards one at a time to four children. / cards icon"
AC9M1N06,Equal Sharing and Grouping,practice,P19,"There are 10 eggs. Each nest has 5 eggs. How many nests are there?","A. 2 | B. 5 | C. 3",A,"10 grouped in 5s makes 2 nests.","Count one group of 5, then another. / nests icon"
AC9M1N06,Equal Sharing and Grouping,practice,P20,"Ruby has 12 stars. She shares them equally between 6 pages. How many stars go on each page?","A. 6 | B. 2 | C. 3",B,"12 shared into 6 equal groups is 2 each.","Place stars equally on six pages. / star pages icon"
AC9M1N06,Equal Sharing and Grouping,practice,P21,"There are 18 counters. Each row has 6 counters. How many rows are there?","A. 6 | B. 2 | C. 3",C,"18 grouped in 6s makes 3 rows.","Build rows of 6 counters. / counter rows icon"
AC9M1N06,Equal Sharing and Grouping,practice,P22,"Jack has 24 toy animals. He shares them equally between 4 boxes. How many animals are in each box?","A. 6 | B. 4 | C. 8",A,"24 shared into 4 equal groups is 6 each.","Share toys into four boxes. / toy boxes icon"
AC9M1N06,Equal Sharing and Grouping,practice,P23,"There are 20 cubes. Each train has 5 cubes. How many trains can be made?","A. 5 | B. 4 | C. 10",B,"20 grouped in 5s makes 4 trains.","Make trains of 5 cubes. / cube train icon"
AC9M1N06,Equal Sharing and Grouping,practice,P24,"Isla has 21 leaves. She shares them equally between 3 piles. How many leaves are in each pile?","A. 6 | B. 8 | C. 7",C,"21 shared into 3 equal groups is 7 each.","Share leaves into three equal piles. / leaf piles icon"
AC9M1N06,Equal Sharing and Grouping,test,T01,"There are 8 slices of orange. Two children share them equally. How many slices does each child get?","A. 4 | B. 2 | C. 6",A,"8 shared into 2 equal groups is 4 each.","Show two children and share the slices. / orange slices icon"
AC9M1N06,Equal Sharing and Grouping,test,T02,"A class has 12 glue sticks. Each table gets 3 glue sticks. How many tables get glue sticks?","A. 3 | B. 4 | C. 6",B,"12 grouped in 3s makes 4 tables.","Circle groups of 3. / classroom tables icon"
AC9M1N06,Equal Sharing and Grouping,test,T03,"Liam has 15 shells. He shares them equally between 5 jars. How many shells are in each jar?","A. 5 | B. 2 | C. 3",C,"15 shared into 5 equal groups is 3 each.","Share shells across five jars. / jars icon"
