# Practice: question | answer | distractor | distractor | explanation
A gardener checks how dry the soil is before watering. How does this help?|It helps decide whether water is needed.|It shows how tall the plant will become.|It tells which flower will open first.|Checking the soil supplies useful evidence for today's watering decision.
A cook uses a timer while bread bakes. What information does it give?|how long the bread has baked|how heavy the bread is|how warm the oven is|A timer measures time. Other tools are needed for mass or temperature.
A family checks a rain forecast before hanging washing. How can it help?|They can plan where to dry the clothes.|They can find the weight of the clothes.|They can work out how much washing powder to use.|The forecast helps them plan for possible rain, although it is not a guarantee.
A nurse checks a person's temperature. What is being measured?|how hot or cold their body is|how tall their body is|how quickly they are growing|A thermometer gives evidence about body temperature.
A baker measures the water for a recipe. Why is measuring useful?|It helps use the needed amount.|It shows when the bread will rise.|It tells whether the oven is hot.|Measuring helps the baker use the recipe's amount of water.
A builder checks that a shelf is level. Which everyday problem could this help prevent?|objects rolling towards one end|objects being the wrong colour|objects weighing more than before|A level check helps the builder avoid an unwanted slope.
A gardener records plant height each week. What can the record help show?|how the plant grows over time|how many seeds are inside the soil|how tall every plant will become|Repeated height measurements show changes in this plant's growth.
A family measures the rain in their garden. Which decision can that information help with?|whether the garden may need more water|which flowers have the strongest smell|how many leaves will grow tomorrow|Rainfall information can help people decide whether to check for extra watering needs.
Wet towels dried quickly on three warm, breezy days. What is a sensible prediction for another similar day?|The towels may dry quickly again.|The towels may dry more slowly.|The towels may stay wet all day.|The repeated observations support a prediction, but do not guarantee an exact drying time.
A gardener sees seedlings leaning towards a window on several days. What might another seedling do there?|grow towards the window too|always grow away from the window|stop growing as soon as it is watered|The observed growth direction gives a reason for the prediction.
Read the drying record. Which day looks more suitable for drying washing quickly outdoors?|a warm, breezy day|a cool, still day|either day must take the same time|The recorded washing dried faster in warm, breezy conditions.
A family finds dew on the grass on several cool mornings. What might they expect on another similar morning?|the grass may be damp again|the grass must be dry|the whole garden will be flooded|The pattern supports expecting damp grass, not a flood or a guaranteed result.
A child notices a slide gets hot on sunny afternoons. How can this knowledge help before play?|An adult can check whether the slide is suitable.|The child can assume it is always cool.|The child can decide from the slide's colour alone.|A repeated observation helps people know what to check before using the slide.
Cold drinks warmed after being left on the bench. How can a café use this observation?|keep drinks chilled until needed|put drinks on the bench much earlier|choose cups by colour to keep drinks cold|The observation helps the café plan how to serve drinks cold.
A gardener sees that a pot dries out faster on windy days. What should they do on the next windy day?|check the soil sooner|add water without checking, every minute|assume wind means the soil stays wet|The pattern helps choose when to check. It does not prove that water is needed at every moment.
A lunchbox test shows one ice pack keeps food cool longer. How can a parent use the result?|choose that pack when cooling is needed longer|choose only by the picture on the pack|assume the pack stays cold forever|The test can guide a useful choice within the conditions tested.
Use the flower-shop record. When would checking the bucket water earlier be most useful?|on a warm day|on a cool day only|after every bucket is already empty|The record shows a faster fall in water level on warm days.
Solar garden lights stayed on longer after several sunny days. What prediction uses that pattern?|They may stay on longer after another sunny day.|They may stay on for less time after a sunny day.|They may stay on longer after a cloudy day.|The pattern supports a likely difference, not an exact time or a claim about every cloudy day.
A gardener expected soil to stay damp, but finds it dry. What should guide today's watering decision?|the soil they have checked today|only yesterday's expectation|the colour of the watering can|Current observations matter when making the decision.
A mechanic notices a bicycle tyre keeps losing air. How can the pattern help?|It suggests the tyre needs checking for a leak.|It proves every bicycle tyre has a leak.|It shows the bicycle needs a new seat.|Repeated air loss gives a reason to check the tyre, but does not identify every possible cause.
Two lunch covers were tested equally. Cover A kept out more water each time. Which choice uses the evidence?|choose A when rain protection is needed|choose B because its colour is brighter|assume A will keep out every amount of rain|Repeated tests support choosing A, without proving it works in every condition.
A child wants a picnic spot that stays shaded at lunch. Which record is most useful?|shade at lunchtime on several days|shade early in the morning only|the height of the picnic table|Observations at the relevant time help the child make a useful prediction.
Three previous warm days helped washing dry quickly. Today is warm but rain is forecast. What is a sensible plan?|consider both the drying pattern and the rain forecast|use the old pattern and ignore possible rain|assume warmth prevents rain|A useful decision considers new information as well as past patterns.
A plant nursery tests two watering plans before choosing one. How is science helping?|They use observations to choose a plan.|They choose the plan with the shortest name.|They know both plans must work equally well.|Testing supplies evidence for a practical decision.
# Test
A chef checks the temperature of food with a thermometer. What information does this provide?|how hot or cold the food is|how much the food weighs|how much food is in the pot|A thermometer measures temperature, which can inform the chef's next step.
