Read: 'I put the blue cup beside the tap and the red cup on the shelf.' Where is the blue cup?|Beside the tap|On the shelf|Under the table|The sentence directly places the blue cup beside the tap; the shelf belongs to the red cup.
Read: 'A tiny path curved between two tall trees.' Which picture would match the words?|A narrow curved path with a tall tree on each side|A straight wide road with no trees|A tree standing in the middle of a lake|Tiny, curved and between tell you the path's size, shape and position.
Read: 'Zoe packed a towel and goggles. Her swimming lesson started soon.' Where is Zoe most likely going?|To a pool|To a library|To a farm|The swimming lesson, towel and goggles all support the pool prediction.
Read: 'The children planted seeds, watered them and watched shoots appear.' What is the text mainly about?|Growing plants from seeds|Choosing new watering cans|Playing beside a garden|Planting, watering and seeing shoots are linked parts of growing plants.
Read: 'A wet dog shook itself beside Amir. Drops landed on his shirt.' Why did Amir's shirt get wet?|The dog shook water onto it|Amir washed his shirt|It says Amir jumped into a pool|The nearby shaking dog and flying drops explain the wet shirt.
Read: 'Nina opened her lunchbox and found it empty.' Which question would help you understand this event better?|What happened to the lunch?|What colour are Nina's shoes?|How many windows are in the room?|The missing lunch is the important unexplained part of the event.
Read: 'The wind tugged at the flag until it stretched straight out.' What should you imagine?|A flag pulled out by strong wind|A flag lying still on the ground|A flag hidden inside a bag|Tugged and stretched straight out describe the wind pulling the flag away from its pole.
Read: 'Leo checked under the bed, behind the door and inside his bag for his cap.' What is Leo doing?|Searching for something missing|Packing for a holiday|Cleaning every room|Checking several places for the cap shows that Leo is searching for it.
Read: 'Mum set out flour, a bowl and a baking tray. She turned on the oven.' What is she most likely about to do?|Bake something|Wash the windows|Plant a tree|The ingredients, baking equipment and oven support a prediction about baking.
Read: 'The path was covered in puddles. Ari took the longer dry path.' Why did Ari probably change route?|To avoid walking through water|To find deeper puddles|To reach a place the text names as a shop|The contrast between puddles and a dry path supports avoiding the water.
Read: 'Mia's tower fell. She made the bottom wider and tried again.' Which past experience would help a reader understand Mia's change?|Building something that tipped because its base was too small|Choosing a favourite paint colour|Learning the words of a song|A similar experience of an unstable base helps explain why Mia widened the bottom.
Read: 'At first, Ben could not tie the knot. After many tries, it stayed tight.' Which summary fits?|Ben practised until he could tie the knot.|Ben gave up before trying.|Ben taught everyone a new game.|The summary includes the initial difficulty, repeated effort and successful result.
Read: 'The basket was light when empty. After Jo filled it with books, she used both hands.' What can you infer?|The full basket was harder to carry|The books made the basket lighter|Jo had taken all the books out|Filling it with books and then using both hands suggest increased weight.
Read: 'A low branch hung across the path. Finn bent his head as he walked under it.' Why did he bend?|To avoid the branch|To see a bird above it|To reach a cloud|The low branch gives a reason for lowering his head while passing underneath.
Read: 'Our class collected fallen leaves. We sorted them by shape and made a display.' What is the best title?|Our Leaf Display|The Missing Lunch|How to Ride a Bike|The title connects the collecting and sorting with the display they made.
Read: 'Rae pressed her ear to the closed door. She could hear a soft scratching.' Which question best follows the clue?|What is making the scratching sound?|What did Rae eat last week?|How many trees are outside?|The sound is the clue that raises a relevant question about what is behind the door.
Read: 'Before the match, Kit's hands shook. When her friend waved, Kit smiled and took a deep breath.' Which inference is best supported?|Kit may feel a little calmer after seeing her friend|Kit has certainly won the match already|Kit has forgotten where she is|The smile and deep breath after the wave suggest reassurance, not a certain match result.
Read: 'Dark clouds gathered. We moved the washing inside. Soon rain hit the windows.' What explains the middle action?|The clouds suggested rain might come|The washing was already on the windows|The rain had stopped for the day|Moving washing inside follows the warning from the clouds and comes before the rain.
Read: 'A rabbit nibbled the lettuce. A fence was put around the patch.' What will most likely happen if the fence keeps rabbits out?|More lettuce will remain uneaten by rabbits|The rabbits will certainly stop eating all food|The lettuce will turn into a different plant|Keeping rabbits out removes the source of nibbling described in the text.
Read: 'The old bench creaked as three children sat down.' Which detail is supported, rather than just a guess?|The bench made a sound.|The bench was painted yellow.|The bench broke into pieces.|Creaked tells us about a sound; colour and breaking are not stated or required.
Read: 'A sign said the path ended at the bridge. Ada wanted to reach the bridge.' What can Ada use to decide where to walk?|The sign's information about where the path ends|A guess based only on her favourite direction|The colour of her own bag|The sign provides information connected directly to Ada's destination.
Read: 'The first raft sank. We used wider pieces of wood. The next raft floated.' Which summary keeps the important change?|Changing the wood helped the next raft float.|Both rafts sank in the same way.|The group only looked at wood.|The summary preserves the failed attempt, changed material and improved result.
Read: 'The room was silent until a spoon clattered onto the floor.' A child imagines loud music throughout. Which word should make them revise that image?|silent|spoon|floor|Silent tells us there was no sound before the clatter, so continuous loud music does not fit.
Read: 'Tara thought the bag was lost. Then she saw its bright strap behind a chair.' What is the most reasonable next prediction?|She will check behind the chair for the bag.|She will know the bag is on a bus.|She will stop looking because there is no clue.|The visible strap supplies new evidence pointing to the space behind the chair.
Read: 'The green box is under the desk. The yellow box is by the door.' Where is the yellow box?|By the door|Under the desk|On the desk|The second sentence directly places the yellow box by the door.
Read: 'A thin stream wound around smooth grey stones.' Which imagined scene fits?|Water curving around grey stones|Water falling from a tall red wall|A dry straight track with no stones|Thin stream, wound around and smooth grey stones supply the details for the image.
Read: 'The kettle had boiled. Dad put a teabag in a cup.' What is he most likely making?|A cup of tea|A bowl of cold cereal|A paper boat|Boiled water and a teabag provide linked clues for making tea.
Read: 'Ella brushed the pony, filled its water bucket and gave it hay.' What is this mostly about?|Caring for a pony|Building a stable|Racing against a pony|Each action meets a care need, so caring for the pony covers the whole passage.
Read: 'Hugo's sleeves were too short and the buttons would not meet.' What is likely about the coat?|It is too small for Hugo.|It is much too large for Hugo.|Its colour has changed.|Short sleeves and buttons that cannot meet both support the coat being too small.
Read: 'A loud crash came from the kitchen. Bea went to look.' Which question best follows the event?|What caused the crash?|Which book did Bea read last month?|What colour is the garden gate?|The crash prompts a question about its cause, which is what Bea goes to investigate.
Read: 'The puppy pulled back when it heard thunder, then hid under the chair.' What feeling is most likely?|Frightened|Bored with a game|Proud of winning|Pulling back and hiding after thunder suggest fear, though the text does not name the feeling.
Read: 'The class made cards, wrote kind messages and gave them to the helpers.' Which summary fits?|The class thanked the helpers with cards.|The helpers taught the class to draw.|The class lost its writing paper.|Making and giving cards with kind messages supports a summary about thanking helpers.
Read: 'The jar lid would not move. Ava dried her wet hands and tried again.' Which experience helps explain her action?|Finding it hard to grip something with slippery hands|Reading a book in a quiet room|Counting flowers in a garden|A similar gripping difficulty connects wet hands with trouble turning a lid.
Read: 'The campsite was quiet. Then twigs snapped just beyond the tent.' Which prediction uses the clue without claiming too much?|Something may be moving near the tent.|A bear is definitely inside the tent.|Everyone has already left the campsite.|Snapping twigs can suggest nearby movement but do not identify a creature or prove it is inside.
Read: 'The paper boat floated until water soaked through. Then it sank.' Why did it sink in this account?|Water soaked through the paper.|Someone tore it before it floated.|The water in the tub vanished.|The text links soaking through with sinking; the other events are not supplied.
Read: 'Oli expected an empty nest, but three chicks opened their beaks.' What should the reader change?|The idea that the nest is empty|The idea that chicks have beaks|The idea that nests can hold birds|The chicks provide new information that contradicts Oli's first expectation.
Read: 'The queue reached the gate. We waited while people entered one at a time.' What does 'queue' mean here?|A line of people waiting|A kind of gate lock|A group of empty chairs|Waiting and entering one at a time provide context for a line of people.
Read: 'First the class chose a story. They practised its parts and performed it for families.' What is the main sequence?|Choose, practise, perform|Perform, choose, practise|Practise, perform, choose|The passage gives the preparation before the final performance in that order.
Read: 'A red mitten lay beside the snowman. Isla looked at her bare hand.' What is a reasonable inference?|The mitten may belong to Isla.|Isla has certainly never worn mittens.|The snowman has hidden both mittens.|The nearby mitten and bare hand connect, but ownership is a reasonable possibility rather than a stated fact.
Read: 'We planted two seeds. One grew in damp soil. The other stayed in dry soil and did not grow.' Which question would help explore the difference?|Did the amount of water affect their growth?|Which seed had the nicest name?|Was the garden gate blue?|The different soil moisture is relevant to the different outcomes and suggests a useful question.
