"skill_code","skill_title","bank","row_type","question_id","current_question","current_options","current_correct_answer","current_explanation","suggested_replacement_question","suggested_replacement_options","suggested_correct_answer","notes"
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-001","At the bead table, the bead pattern is 3, 5, 7, __. What comes next?","A. 9 | B. 7 | C. 11","9","The pattern adds 2 each time, so the next number is 9. Hint: Check the jump between each pair of numbers.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-002","At the bead table, what number is missing? 3, __, 7, 9.","A. 4 | B. 5 | C. 7","5","Every number increases by 2. The missing number is 5. Hint: Start at 3 and add 2.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-003","At the bead table, what is the rule for 3, 5, 7, 9?","A. Add 3 | B. Take away 2 | C. Add 2","Add 2","Each term is 2 more than the one before it. Hint: Work out one jump, then check the other jumps.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-004","At the bead table, the countdown is 32, 30, 28, __. What comes next?","A. 26 | B. 27 | C. 30","26","The pattern takes away 2 each time, so 26 comes next. Hint: Check how much each number decreases.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-005","At the bead table, which pattern adds 2 every time?","A. 3, 5, 8 | B. 3, 5, 7 | C. 3, 1, -1","3, 5, 7","Only 3, 5, 7 has the same +2 jump each time. Hint: Check both jumps in every choice.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-006","At the bead table, a pattern starts at 4 and adds 2. Which number is the third term?","A. 6 | B. 10 | C. 8","8","The terms are 4, 6, 8. Hint: The starting number is the first term. Add 2 twice.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-007","At the bead table, which number does not belong in 3, 5, 8, 9?","A. 8 | B. 5 | C. 9","8","8 breaks the add-2 rule. It should be 7. Hint: Predict each term using the rule.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-008","At the bead table, the shape pattern has 2, 4, 6 dots. It grows by the same amount. How many dots come next?","A. 7 | B. 8 | C. 9","8","The number of dots grows by 2, so 8 dots come next. Hint: Count how many new dots are added each time.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-009","On the number steps, the step pattern is 7, 10, 13, __. What comes next?","A. 13 | B. 19 | C. 16","16","The pattern adds 3 each time, so the next number is 16. Hint: Check the jump between each pair of numbers.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-010","On the number steps, what number is missing? 7, __, 13, 16.","A. 10 | B. 9 | C. 13","10","Every number increases by 3. The missing number is 10. Hint: Start at 7 and add 3.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-011","On the number steps, what is the rule for 7, 10, 13, 16?","A. Add 4 | B. Add 3 | C. Take away 3","Add 3","Each term is 3 more than the one before it. Hint: Work out one jump, then check the other jumps.","","","",""
