Read: 'Mix the oats and milk. Stir well.' What is this text mainly for?|Showing how to prepare food|Telling a story about oats|Inviting someone to a meal|The action words Mix and Stir give steps for preparing food.
Read: 'Come to our picnic! Saturday at 12, beside the lake.' Why are the time and place included?|To help guests know when and where to go|To explain how lakes are formed|To describe what a picnic tastes like|An invitation gives a time and place so guests can attend the event.
Read: 'A snail has a soft body and a shell.' What is the main purpose?|To give information about snails|To ask someone to buy a snail|To tell a snail adventure|The sentence gives facts about a snail's body rather than a story or request.
Read: 'Please choose our park for the trip. It has room for games.' What is the writer trying to do?|Get the reader to choose the park|Explain how to play a game|Tell when the park was built|The writer asks for a choice and gives a reason to support that choice.
Read: 'Milo opened the tiny door. A dragon sneezed inside.' What is this opening mainly doing?|Starting a story|Listing facts about doors|Giving directions to a shop|A character discovers something surprising, which begins a story event.
Read: 'Library closed today. Open again on Monday.' What does this notice help readers know?|When they can use the library|Which story they should read|How to write a library book|The notice gives opening information so readers can plan a visit.
Read: 'Dear Jo, thank you for helping me carry my bag. From Ali.' Why was this note written?|To thank Jo|To invite Jo to a party|To explain how bags are made|The words thank you and the named helpful action show the note's purpose.
Read: 'LOST: small red scarf. Please give it to the school office.' What does the writer want?|Help getting the scarf back|Someone to buy a new scarf|Advice about washing scarves|The description helps people recognise the lost scarf and return it.
A page says 'You need: paper, glue. 1. Fold the paper. 2. Glue the edges.' Which feature helps you follow the task in order?|The numbered steps|The word paper appearing twice|The short title of the page|Numbers show which action to do first and which action comes next.
A poster says 'Try our fruit cups! Fresh, sweet and ready to eat.' Which words most clearly encourage people to choose them?|Try our fruit cups!|Ready to eat|Fruit cups|Try is a direct invitation to choose the food, showing the poster's selling purpose.
A page labels a bird's 'wing', 'beak' and 'tail'. How do the labels help?|They name parts of the bird|They tell a bird's adventure|They ask the reader to keep a bird|Labels connect names with parts, helping a reader learn information.
You need to know what to bring to swimming. Which text would help most?|A class note listing towel, swimmers and goggles|A story about a seal learning to swim|A poster asking people to join a swimming club|The list tells you the equipment needed for your swimming session.
You want friends to attend your show. Which detail belongs on your invitation?|The day and starting time|A list of every show you have seen|Instructions for building the stage|Guests need to know when to attend, so the day and time support the invitation.
Read: 'Walk past the hall. Turn left at the office.' What makes this useful as directions?|It names places and tells where to turn|It explains why the hall is popular|It tells how the office was built|Named landmarks and turning instructions help a reader follow a route.
A book page says 'Contents: Bears 2; Frogs 6; Birds 10.' How does this feature help a reader?|Find the page for a topic|Decide which animal is nicest|Learn every fact on page 6|A contents list links topics to page numbers so information can be found.
Read: 'No entry. The path is being repaired.' Why does the notice give a reason?|To explain why people must use another way|To begin a story about a path|To invite people to help with repairs|The reason explains the restriction and helps readers understand the notice.
Text A says 'First, plant the seed.' Text B says 'Please plant a tree; it gives shade.' How are their main purposes different?|A gives a step; B encourages an action|A encourages buying; B tells a story|A tells a story; B gives a step|First introduces an instruction, while please and the reason encourage planting.
A text is headed 'Come to the fair' but gives no date. What important part of its purpose is harder to achieve?|Helping readers know when to attend|Helping readers spell the word fair|Helping readers imagine a character|An event invitation needs a date so readers can plan to come.
Read: 'The frog leapt into a silver boat and sailed to the moon.' A child says it must be a fact page because it names a frog. What is the best reply?|The impossible adventure is a story clue|All texts about frogs are fact pages|A fact page cannot mention an animal|Purpose depends on what the text does, not just its topic; this is an imagined adventure.
A sign says 'Please walk. The floor is wet.' Which feature best shows its purpose?|It asks for an action and explains why|It has a word with three letters|It mentions a place indoors|The request and reason show that the sign guides behaviour on the wet floor.
A recipe lists ingredients but no amounts. Which added detail would make it more useful?|How much of each ingredient to use|The writer's favourite plate colour|A story about a hungry mouse|Amounts help the reader prepare the food correctly, supporting the recipe's purpose.
Text A tells when the pool opens. Text B asks readers to try a pool lesson. Which question helps tell their purposes apart?|Does it give visiting information or encourage joining?|Does it use the word pool?|Does it have a full stop?|Both can mention a pool and use punctuation; what each asks or tells reveals purpose.
Read: 'Our garden needs your help. Join us on Friday to plant seeds.' Why does this text include both a request and a day?|It encourages helping and tells when to come|It proves the garden has already been planted|It explains every step for planting seeds|A text can encourage an action and supply practical information for doing it.
A page has numbered steps, but says '1. The fox woke. 2. It heard a knock.' Why should you read the words before calling it instructions?|Numbers can also organise story events|Numbered texts always explain how to make things|Stories cannot have numbers|The words describe events rather than tell the reader actions to carry out.
Read: 'Concert tonight at 6 in the hall. Families welcome.' What is its main purpose?|Inviting families to a concert|Teaching a song|Describing how a hall is built|The event, time, place and welcome help families attend the concert.
Read: 'Put the lid on. Shake the jar gently.' Which feature shows that this gives instructions?|Words telling the reader what to do|A character solving a problem|Reasons for choosing a product|Put and Shake direct the reader's actions, making this an instruction text.
Read: 'Penguins have feathers. They use their flippers to swim.' Why might someone read this?|To learn about penguins|To find the date of a penguin show|To follow steps for drawing a penguin|The sentences provide information about penguin bodies and movement.
Read: 'Choose a walk today. You can enjoy fresh air.' What is the writer's main aim?|Encourage the reader to go walking|Explain how air is made|Tell a story about a lost walker|Choose asks the reader to act, and fresh air is offered as a reason.
A note says 'Thanks for feeding my fish while I was away.' Which detail shows the purpose most clearly?|Thanks for feeding my fish|While I was away|My fish|The thanks names the helpful act and shows that the writer is expressing gratitude.
Read: 'Bus stop moved to the next corner until Tuesday.' What would this notice help you do?|Find where to catch the bus|Choose the fastest bus in the city|Learn how to drive a bus|The notice gives a changed location that passengers need to use.
You want to make a paper hat. Which text is most useful?|A page with folding steps|A poem about a windy hat|A notice about lost hats|Folding steps show how to make the hat, matching what you need to do.
A class trip note names the destination and leaving time. Which added detail helps families pack?|What children need to bring|The teacher's favourite holiday|A rhyme about buses|A packing list gives practical information families need for the trip.
Text A says 'The kite has a long tail.' Text B says 'Buy this kite; it flies well!' Which text tries to influence a choice?|B, because it asks the reader to buy|A, because it mentions a tail|Both, because both mention kites|B includes a direct buying request and a reason, while A simply describes a feature.
A story begins 'One morning, a little robot lost its way.' Which feature signals a story?|A character facing a problem|A list of materials|A time when a shop closes|The robot and its problem begin events for a reader to follow.
A warning reads 'Keep the gate shut so the goats stay inside.' Why include the last part?|To explain the reason for the instruction|To invite readers to buy goats|To tell how gates are made|The reason connects shutting the gate with keeping the goats inside.
A page has a title 'Bikes' and says 'Pump the tyres. Check the brakes.' What best shows its purpose?|The action steps about checking a bike|The title on its own|The number of letters in Bikes|Reading the steps reveals a practical checking purpose that the title alone cannot show.
Text A gives facts about apples. Text B tells how to bake apples. What would you expect only in B?|Steps for preparing the food|The word apples|Information connected with apples|Both may discuss apples, but the cooking text needs a sequence of actions.
Read: 'Please visit our book stall on Sunday. Every sale helps buy class books.' Why is the second sentence included?|It gives readers a reason to visit and buy|It tells readers how to write a book|It proves every visitor must buy a book|The benefit to the class supports the request without saying everyone must buy.
A notice says 'Found: blue lunchbox.' What would help it do its job better?|Where the owner can collect it|A list of foods the writer likes|Directions for making a lunchbox|Collection information helps the owner recover the found lunchbox.
Text A lists opening times. Text B tells a funny event at the same shop. Why can they have different purposes?|A helps plan a visit; B entertains with events|They name the same place, so their purposes must match|A short text can only have a story purpose|Texts about one place can do different jobs; their details and structure reveal those jobs.
