A book cover says 'Birds in Our Garden'. What does this title help you predict?|The book is about garden birds.|The book is about cooking soup.|The book tells the time of day.|A title gives a clue to the subject of the whole book.
The contents list says 'Nests — page 6'. Where should you look for the nests section?|Page 6.|Page 5.|The back cover only.|The contents links a section name with its starting page.
A page has the heading 'What Koalas Eat'. Which information should be below it?|Facts about koala food.|Directions to the library.|A list of boat colours.|A heading names the topic of the section beneath it.
An e-book has buttons labelled 'Next' and 'Back'. You want the following page. Which button fits?|Next.|Back.|Neither; both close the book.|Next moves forward through the pages.
You are on page 9 and want to reread page 8. What should you do?|Turn back one page.|Turn forward one page.|Close the book and read the cover.|Page numbers show which page comes before the current one.
A website link says 'Listen to the story'. What would you expect it to do?|Play a spoken version of the story.|Show the weather forecast.|Change the story's title.|The link's words describe the content or action it leads to.
A screen says, 'Swipe left for the next page.' How do you move on?|Swipe left.|Swipe right.|Tap the title twice.|The displayed instruction tells you the navigation action to use.
A voice-controlled book says, 'Say next page to continue.' What should you say?|Next page.|Start again.|Close book.|The verbal command must match the action you want.
Contents: 'Seeds — 3; Roots — 7; Leaves — 11.' You want to read about roots. Which page should you open?|7.|3.|11.|The roots entry points to page 7.
A book is titled 'All About Boats'. A page is headed 'Sails'. How are the title and heading different?|The title names the whole topic; the heading names one part.|The heading names the whole book; the title names one page.|Both tell the reader the page number.|A section heading narrows the larger subject named by the title.
You are on the last screen of a story. Buttons say 'Read again' and 'Exit'. Which starts the story over?|Read again.|Exit.|Both do the same thing.|Read again restarts; exit leaves the story.
A page has a large heading 'Animal Homes' and smaller headings 'Nests' and 'Burrows'. What do the smaller headings show?|Two parts of the animal-homes topic.|The order in which to count pages.|The names of the book's authors.|The smaller headings organise related kinds of homes within the main topic.
A screen offers links 'Play the song', 'Read the words' and 'About the singer'. You want the song's written words. Which link fits?|Read the words.|Play the song.|About the singer.|Choose the link whose label matches the information you need.
A contents entry says 'Rain — 10'. Page 10 begins with the heading 'Rain'. How do these features work together?|The contents points to the page; the heading confirms the section.|The heading tells you to leave page 10.|The contents gives the book's price.|The two features help you find and recognise the right section.
An e-book says, 'Swipe right to return to the previous picture.' Which action shows the picture you just left?|Swipe right.|Swipe left.|Say louder.|Follow this book's stated return instruction rather than guessing.
A voice menu offers 'Read story' and 'Stop reading'. You want the narration to end. Which command fits?|Stop reading.|Read story.|Next story.|The command should match stopping the spoken reading.
A book's contents points to 'Wings — 12', but you opened page 21. What should you check first?|The page number and the contents entry.|Whether the cover is colourful.|Whether the book has a long title.|Checking the navigation information helps correct the wrong page choice.
You want facts about feeding a pet rabbit. Which combination is most useful?|Book title 'Pet Rabbits'; heading 'Food'.|Book title 'Pet Rabbits'; heading 'Fur Colours'.|Book title 'Garden Birds'; heading 'Nests'.|Both the whole-book topic and the section heading should match the information needed.
A page has a picture of a speaker labelled 'Hear this page'. What helps you know what it does?|The image and label together.|The page number alone.|The colour of an unrelated border.|The symbol suggests sound, and the words specify that it reads this page.
A website has 'Home', 'Next chapter' and 'Help' buttons. You want instructions for using the website. Which should you choose?|Help.|Next chapter.|Home.|Help is the label most directly linked to guidance about using the site.
Contents: 'Eggs — 4; Chicks — 8; Adult Birds — 14.' Which section would you use to find information about newly hatched birds?|Chicks, starting on page 8.|Eggs, starting on page 4.|Adult Birds, starting on page 14.|Newly hatched birds are chicks, so match the meaning to the section name.
You click 'Read about storms' but reach a page headed 'Sunny Days'. What suggests you have not reached the expected information?|The heading does not match the link's topic.|The page has words on it.|The page has a number.|Comparing the link label and destination heading helps check navigation.
A story screen has 'Back to contents' and 'Back one page'. You want to choose another section. Which fits?|Back to contents.|Back one page.|Both always open the contents.|The contents is a list for choosing sections, not just the previous page.
You need the section about protecting plants. The contents lists 'Plant Food', 'Keeping Plants Safe' and 'Flower Colours'. Which label matches your purpose?|Keeping Plants Safe.|Plant Food.|Flower Colours.|Protecting plants means keeping them safe; readers can match meanings, not only identical words.
A cover says 'Things That Fly'. What is its title helping the reader know?|The book's broad subject.|The number of words on page 3.|The exact price of every book.|A title signals what the book is likely to be about.
Contents: 'Wheels — 5; Engines — 9; Lights — 13.' Where does the engines section start?|Page 9.|Page 5.|Page 13.|The engine entry pairs its topic with page 9.
Which fact fits under the heading 'How Seeds Travel'?|Some seeds are carried by the wind.|Some leaves are broad and green.|Some pots are made of clay.|The heading asks for information about seed movement.
A digital story has a 'Previous page' button. What should happen when you select it?|The page before this one appears.|The page after this one appears.|The story must start at the beginning.|Previous means the one before the current page.
You are on page 14 and need page 15. Which way should you move?|Forward one page.|Back one page.|Back to page 1.|The larger next page number comes after the current page.
A link says 'Watch how bread is made'. What is it likely to open?|A video showing bread being made.|A page listing animal homes.|A button that turns the sound off.|Watch and the topic together describe a video about the bread-making process.
A screen instructs, 'Swipe up to see more of this page.' What action reveals the lower content?|Swipe up.|Swipe right to a new book.|Say close.|Use the gesture specified by the screen to reveal more content.
A talking story says, 'Say pause to stop for a moment.' Which command fits taking a short break?|Pause.|Faster.|Start over.|Pause stops temporarily, matching the stated instruction.
A book titled 'Growing Vegetables' has a section 'Watering'. Which question would that section most likely answer?|How should I give the plants water?|How do I repair a bicycle?|Who invented football?|The heading identifies a specific part of the book's gardening topic.
Contents: 'Baby Animals — 2; Shelters — 6; Tracks — 10.' You want to identify footprints. Where should you begin?|Tracks, page 10.|Shelters, page 6.|Baby Animals, page 2.|Footprints are tracks, so that section matches the information needed.
An e-book offers 'Return to library' and 'Read next page'. You want to choose a different book. Which fits?|Return to library.|Read next page.|Both only change the font.|The library is where books can be selected; next page stays in this book.
A page shows a magnifying-glass image with the label 'Search this book'. What does this control help you do?|Find a word or topic in the book.|Turn every page into a larger picture.|Hear the whole book read aloud.|The label explains the search function of the symbol.
A contents list says 'Clouds — 16'. You arrive at page 16, headed 'Clouds'. What confirms you found the intended section?|Both the number and heading match.|The page uses a dark text colour.|The book has a cover.|Matching the page reference and topic heading confirms the location.
You want to hear only the current page. A menu has 'Read this page', 'Read from start' and 'Mute'. Which option fits?|Read this page.|Read from start.|Mute.|Only the first label limits the spoken reading to the current page.
A link is labelled 'Meet the author', but you want the next part of the story. Why is 'Next page' more useful?|It continues the story instead of opening author information.|It always shows the book's cover.|It changes who wrote the story.|The labels describe different destinations, so choose the one matching the reading goal.
A book has the title 'Our Coast' and headings 'Rock Pools', 'Sand Dunes' and 'Seabirds'. How does this organisation help?|It divides the coast topic into sections readers can find.|It puts every coastal event in time order.|It tells readers to read only the last page.|Headings group related information within the broader title topic.
