skill_code,skill_title,bank,question_id,question,options,correct_answer,explanation,response_type,question_type,cognitive_demand,acceptance_note,visual,ixl_reference_url,curriculum_source,qa_status
AC9M1N01,Numbers to 120,practice,P01,Which numeral means seventeen?,"{""A"": ""71"", ""B"": ""17"", ""C"": ""7""}",B,Seventeen is written 17. The 1 comes before the 7.,mcq,word to numeral,recognise,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P02,"Each full strip holds 10 counters. There are 3 full strips and 4 loose counters.
Which number is shown?","{""A"": ""43"", ""B"": ""30"", ""C"": ""34""}",C,"Three full strips show 30 counters. With 4 loose counters, the number is 34.",mcq,grouped quantity to numeral,apply,,"{""type"": ""groups"", ""groups"": [10, 10, 10, 4], ""label"": ""Counters""}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P03,"Put these number cards in order from smallest to largest: 27, 19, 31.
Which order is right?","{""A"": ""31, 27, 19"", ""B"": ""19, 31, 27"", ""C"": ""19, 27, 31""}",C,19 comes before 27 when counting. 31 comes after both.,mcq,order three numerals,apply,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P04,"A page number is written in words: forty-six.
Write its numeral.",{},46,Forty-six is written 46: 4 tens and 6 ones.,short_answer,word to numeral,apply,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P05,"These are neighbouring marks on a number line. Every mark is 1 more.
52 — 53 — ? — 55
Which number belongs at the missing mark?","{""A"": ""51"", ""B"": ""54"", ""C"": ""56""}",B,54 comes after 53 and before 55.,mcq,unit number-line position,apply,,"{""type"": ""table"", ""headers"": [""Mark 1"", ""Mark 2"", ""Mark 3"", ""Mark 4""], ""rows"": [[""52"", ""53"", ""?"", ""55""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P06,"Read this part of a number chart.
61  62  63  64
71  72  73  74
Which number is directly below 63?","{""A"": ""64"", ""B"": ""72"", ""C"": ""73""}",C,"73 is in the same column as 63, in the row below it.",mcq,locate numeral in chart,recognise,,"{""type"": ""grid"", ""rows"": [[""61"", ""62"", ""63"", ""64""], [""71"", ""72"", ""73"", ""74""]], ""caption"": ""Part of a number chart""}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P07,Which set shows 80 counters? Each full strip holds 10 counters.,"{""A"": ""10 full strips"", ""B"": ""8 full strips"", ""C"": ""8 loose counters""}",B,Eight strips of 10 show 80 counters.,mcq,choose matching representation,apply,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P08,"Write these number cards from smallest to largest:
48, 84, 40",{},"40, 48, 84",40 and 48 both come before 84. 40 comes before 48.,short_answer,order three numerals,apply,"Accept 40, 48, 84 in that order, with any clear separators.",null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P09,Which number comes immediately after 99?,"{""A"": ""100"", ""B"": ""90"", ""C"": ""109""}",A,Counting past 99 gives 100.,mcq,cross decade or hundred boundary,apply,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P10,"A chart counts across each row by ones.
96  97  __  99  100
Which number fills the empty space?","{""A"": ""101"", ""B"": ""98"", ""C"": ""88""}",B,98 comes between 97 and 99.,mcq,complete chart row,apply,,"{""type"": ""table"", ""headers"": [""Position 1"", ""Position 2"", ""Position 3"", ""Position 4"", ""Position 5""], ""rows"": [[""96"", ""97"", ""__"", ""99"", ""100""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
